"1990 - 1991 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,02-Alaska,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,16025,,33009,"
"53,Wa,Washington,2094,13.07,4036,12.23"
"06,Ca,California,2030,12.67,4016,12.17"
"41,Or,Oregon,1043,6.51,2098,6.36"
"48,Tx,Texas,997,6.22,2290,6.94"
"12,Fl,Florida,596,3.72,1246,3.77"
"04,Az,Arizona,545,3.4,1072,3.25"
"08,Co,Colorado,544,3.39,1101,3.34"
"57,FR,Foreign,505,3.15,1200,3.64"
"27,Mn,Minnesota,417,2.6,709,2.15"
"30,Mt,Montana,391,2.44,819,2.48"
"26,Mi,Michigan,363,2.27,691,2.09"
"36,Ny,New York,347,2.17,626,1.9"
"16,Id,Idaho,312,1.95,663,2.01"
"51,Va,Virginia,297,1.85,686,2.08"
"39,Oh,Ohio,286,1.78,508,1.54"
"37,Nc,North Carolina,272,1.7,593,1.8"
"22,La,Louisiana,266,1.66,641,1.94"
"13,Ga,Georgia,255,1.59,562,1.7"
"17,Il,Illinois,254,1.59,480,1.45"
"15,Hi,Hawaii,252,1.57,455,1.38"
"40,Ok,Oklahoma,250,1.56,614,1.86"
"42,Pa,Pennsylvania,222,1.39,353,1.07"
"35,Nm,New Mexico,205,1.28,503,1.52"
"32,Nv,Nevada,205,1.28,446,1.35"
"55,Wi,Wisconsin,204,1.27,353,1.07"
"29,Mo,Missouri,182,1.14,389,1.18"
"49,Ut,Utah,177,1.1,452,1.37"
"01,Al,Alabama,174,1.09,456,1.38"
"56,Wy,Wyoming,165,1.03,362,1.1"
"20,Ks,Kansas,164,1.02,384,1.16"
"34,Nj,New Jersey,148,0.92,302,0.91"
"25,Ma,Massachusetts,147,0.92,256,0.78"
"18,In,Indiana,142,0.89,251,0.76"
"47,Tn,Tennessee,139,0.87,298,0.9"
"24,Md,Maryland,138,0.86,308,0.93"
"05,Ar,Arkansas,131,0.82,299,0.91"
"21,Ky,Kentucky,126,0.79,299,0.91"
"38,Nd,North Dakota,118,0.74,266,0.81"
"45,Sc,South Carolina,118,0.74,282,0.85"
"23,Me,Maine,117,0.73,237,0.72"
"31,Ne,Nebraska,108,0.67,267,0.81"
"33,Nh,New Hampshire,104,0.65,198,0.6"
"19,Ia,Iowa,100,0.62,196,0.59"
"46,Sd,South Dakota,87,0.54,219,0.66"
"28,Ms,Mississippi,80,0.5,182,0.55"
"09,Ct,Connecticut,72,0.45,112,0.34"
"54,Wv,West Virginia,41,0.26,61,0.18"
"50,Vt,Vermont,37,0.23,63,0.19"
"44,Ri,Rhode Island,23,0.14,43,0.13"
"11,Dc,District of Columbia,20,0.12,35,0.11"
"10,De,Delaware,15,0.09,31,0.09"
"02,,State Non-Migrant,172750,,400346,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
