"1990 - 1991 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,10-Delaware,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,12742,,24681,"
"42,Pa,Pennsylvania,3183,24.98,5728,23.21"
"24,Md,Maryland,1996,15.66,3721,15.08"
"34,Nj,New Jersey,1381,10.84,2592,10.5"
"36,Ny,New York,867,6.8,1576,6.39"
"51,Va,Virginia,615,4.83,1218,4.93"
"57,FR,Foreign,555,4.36,1363,5.52"
"12,Fl,Florida,529,4.15,977,3.96"
"06,Ca,California,386,3.03,834,3.38"
"48,Tx,Texas,334,2.62,770,3.12"
"37,Nc,North Carolina,275,2.16,553,2.24"
"39,Oh,Ohio,234,1.84,464,1.88"
"25,Ma,Massachusetts,202,1.59,408,1.65"
"17,Il,Illinois,177,1.39,349,1.41"
"13,Ga,Georgia,153,1.2,331,1.34"
"26,Mi,Michigan,146,1.15,260,1.05"
"09,Ct,Connecticut,143,1.12,288,1.17"
"45,Sc,South Carolina,135,1.06,280,1.13"
"54,Wv,West Virginia,120,0.94,243,0.98"
"47,Tn,Tennessee,107,0.84,225,0.91"
"18,In,Indiana,80,0.63,155,0.63"
"29,Mo,Missouri,74,0.58,172,0.7"
"33,Nh,New Hampshire,73,0.57,181,0.73"
"08,Co,Colorado,73,0.57,146,0.59"
"11,Dc,District of Columbia,72,0.57,89,0.36"
"53,Wa,Washington,60,0.47,132,0.53"
"04,Az,Arizona,59,0.46,125,0.51"
"40,Ok,Oklahoma,56,0.44,134,0.54"
"01,Al,Alabama,54,0.42,114,0.46"
"21,Ky,Kentucky,53,0.42,107,0.43"
"55,Wi,Wisconsin,49,0.38,99,0.4"
"23,Me,Maine,44,0.35,75,0.3"
"44,Ri,Rhode Island,40,0.31,76,0.31"
"22,La,Louisiana,37,0.29,80,0.32"
"05,Ar,Arkansas,36,0.28,88,0.36"
"20,Ks,Kansas,35,0.27,74,0.3"
"27,Mn,Minnesota,33,0.26,49,0.2"
"35,Nm,New Mexico,33,0.26,70,0.28"
"28,Ms,Mississippi,33,0.26,75,0.3"
"49,Ut,Utah,26,0.2,59,0.24"
"19,Ia,Iowa,22,0.17,32,0.13"
"15,Hi,Hawaii,22,0.17,56,0.23"
"02,Ak,Alaska,20,0.16,52,0.21"
"50,Vt,Vermont,19,0.15,34,0.14"
"32,Nv,Nevada,17,0.13,45,0.18"
"41,Or,Oregon,16,0.13,33,0.13"
"31,Ne,Nebraska,16,0.13,39,0.16"
"30,Mt,Montana,13,0.1,25,0.1"
"46,Sd,South Dakota,13,0.1,33,0.13"
"38,Nd,North Dakota,11,0.09,27,0.11"
"16,Id,Idaho,10,0.08,17,0.07"
"56,Wy,Wyoming,5,0.04,8,0.03"
"10,,State Non-Migrant,251510,,545098,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
