"1990 - 1991 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,16-Idaho,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,21268,,48579,"
"06,Ca,California,4642,21.83,10961,22.56"
"53,Wa,Washington,3320,15.61,7136,14.69"
"41,Or,Oregon,1714,8.06,3721,7.66"
"49,Ut,Utah,1427,6.71,3817,7.86"
"32,Nv,Nevada,937,4.41,2024,4.17"
"30,Mt,Montana,889,4.18,1918,3.95"
"04,Az,Arizona,873,4.1,2116,4.36"
"48,Tx,Texas,725,3.41,1868,3.85"
"57,FR,Foreign,664,3.12,1460,3.01"
"08,Co,Colorado,608,2.86,1364,2.81"
"12,Fl,Florida,465,2.19,952,1.96"
"56,Wy,Wyoming,409,1.92,957,1.97"
"02,Ak,Alaska,300,1.41,670,1.38"
"17,Il,Illinois,271,1.27,631,1.3"
"51,Va,Virginia,243,1.14,581,1.2"
"35,Nm,New Mexico,236,1.11,556,1.14"
"27,Mn,Minnesota,209,0.98,466,0.96"
"36,Ny,New York,193,0.91,385,0.79"
"26,Mi,Michigan,189,0.89,384,0.79"
"42,Pa,Pennsylvania,169,0.79,351,0.72"
"29,Mo,Missouri,158,0.74,360,0.74"
"37,Nc,North Carolina,156,0.73,355,0.73"
"31,Ne,Nebraska,149,0.7,373,0.77"
"39,Oh,Ohio,144,0.68,295,0.61"
"55,Wi,Wisconsin,138,0.65,266,0.55"
"20,Ks,Kansas,135,0.63,317,0.65"
"40,Ok,Oklahoma,134,0.63,319,0.66"
"15,Hi,Hawaii,129,0.61,278,0.57"
"19,Ia,Iowa,129,0.61,283,0.58"
"13,Ga,Georgia,121,0.57,269,0.55"
"38,Nd,North Dakota,113,0.53,270,0.56"
"24,Md,Maryland,112,0.53,257,0.53"
"25,Ma,Massachusetts,108,0.51,176,0.36"
"34,Nj,New Jersey,102,0.48,195,0.4"
"18,In,Indiana,101,0.47,237,0.49"
"46,Sd,South Dakota,95,0.45,227,0.47"
"47,Tn,Tennessee,93,0.44,227,0.47"
"45,Sc,South Carolina,86,0.4,233,0.48"
"09,Ct,Connecticut,79,0.37,170,0.35"
"05,Ar,Arkansas,78,0.37,184,0.38"
"33,Nh,New Hampshire,75,0.35,165,0.34"
"21,Ky,Kentucky,68,0.32,155,0.32"
"01,Al,Alabama,55,0.26,140,0.29"
"22,La,Louisiana,54,0.25,128,0.26"
"28,Ms,Mississippi,48,0.23,123,0.25"
"23,Me,Maine,36,0.17,81,0.17"
"50,Vt,Vermont,33,0.16,50,0.1"
"54,Wv,West Virginia,21,0.1,56,0.12"
"44,Ri,Rhode Island,14,0.07,24,0.05"
"11,Dc,District of Columbia,12,0.06,21,0.04"
"10,De,Delaware,9,0.04,27,0.06"
"16,,State Non-Migrant,317014,,806835,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
