"1990 - 1991 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,24-Maryland,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,73518,,140789,"
"11,Dc,District of Columbia,11621,15.81,22644,16.08"
"51,Va,Virginia,10363,14.1,18501,13.14"
"42,Pa,Pennsylvania,6638,9.03,11470,8.15"
"57,FR,Foreign,4681,6.37,11116,7.9"
"36,Ny,New York,4470,6.08,7890,5.6"
"12,Fl,Florida,3768,5.13,6940,4.93"
"06,Ca,California,3368,4.58,6653,4.73"
"34,Nj,New Jersey,2785,3.79,5041,3.58"
"37,Nc,North Carolina,2383,3.24,4499,3.2"
"48,Tx,Texas,2256,3.07,5016,3.56"
"10,De,Delaware,1875,2.55,3516,2.5"
"25,Ma,Massachusetts,1656,2.25,2909,2.07"
"39,Oh,Ohio,1580,2.15,2841,2.02"
"54,Wv,West Virginia,1399,1.9,2691,1.91"
"13,Ga,Georgia,1311,1.78,2571,1.83"
"17,Il,Illinois,1134,1.54,2198,1.56"
"09,Ct,Connecticut,926,1.26,1621,1.15"
"26,Mi,Michigan,921,1.25,1686,1.2"
"45,Sc,South Carolina,901,1.23,1789,1.27"
"47,Tn,Tennessee,683,0.93,1399,0.99"
"08,Co,Colorado,664,0.9,1314,0.93"
"29,Mo,Missouri,537,0.73,1072,0.76"
"22,La,Louisiana,519,0.71,1050,0.75"
"18,In,Indiana,508,0.69,957,0.68"
"53,Wa,Washington,488,0.66,990,0.7"
"15,Hi,Hawaii,486,0.66,1194,0.85"
"01,Al,Alabama,480,0.65,1039,0.74"
"04,Az,Arizona,460,0.63,921,0.65"
"21,Ky,Kentucky,402,0.55,801,0.57"
"33,Nh,New Hampshire,343,0.47,638,0.45"
"27,Mn,Minnesota,331,0.45,602,0.43"
"23,Me,Maine,304,0.41,632,0.45"
"40,Ok,Oklahoma,301,0.41,630,0.45"
"20,Ks,Kansas,298,0.41,655,0.47"
"55,Wi,Wisconsin,293,0.4,552,0.39"
"35,Nm,New Mexico,271,0.37,552,0.39"
"44,Ri,Rhode Island,253,0.34,463,0.33"
"28,Ms,Mississippi,247,0.34,502,0.36"
"05,Ar,Arkansas,190,0.26,438,0.31"
"19,Ia,Iowa,189,0.26,328,0.23"
"49,Ut,Utah,187,0.25,430,0.31"
"02,Ak,Alaska,154,0.21,380,0.27"
"41,Or,Oregon,150,0.2,264,0.19"
"31,Ne,Nebraska,141,0.19,273,0.19"
"50,Vt,Vermont,138,0.19,219,0.16"
"32,Nv,Nevada,134,0.18,271,0.19"
"30,Mt,Montana,79,0.11,141,0.1"
"16,Id,Idaho,69,0.09,146,0.1"
"38,Nd,North Dakota,68,0.09,138,0.1"
"46,Sd,South Dakota,60,0.08,116,0.08"
"56,Wy,Wyoming,55,0.07,90,0.06"
"24,,State Non-Migrant,1791102,,3835761,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
