"1990 - 1991 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,53-Washington,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,90314,,183887,"
"06,Ca,California,22979,25.44,49410,26.87"
"41,Or,Oregon,10248,11.35,20153,10.96"
"57,FR,Foreign,6249,6.92,13585,7.39"
"48,Tx,Texas,3896,4.31,8382,4.56"
"16,Id,Idaho,3394,3.76,6827,3.71"
"04,Az,Arizona,3208,3.55,6623,3.6"
"08,Co,Colorado,2484,2.75,4665,2.54"
"30,Mt,Montana,2458,2.72,4618,2.51"
"02,Ak,Alaska,2293,2.54,4538,2.47"
"12,Fl,Florida,2189,2.42,4214,2.29"
"36,Ny,New York,1874,2.07,3086,1.68"
"15,Hi,Hawaii,1865,2.07,3975,2.16"
"17,Il,Illinois,1783,1.97,3382,1.84"
"32,Nv,Nevada,1377,1.52,2730,1.48"
"51,Va,Virginia,1335,1.48,2836,1.54"
"49,Ut,Utah,1299,1.44,3182,1.73"
"25,Ma,Massachusetts,1261,1.4,1973,1.07"
"27,Mn,Minnesota,1191,1.32,2137,1.16"
"26,Mi,Michigan,1190,1.32,2069,1.13"
"39,Oh,Ohio,1174,1.3,2204,1.2"
"42,Pa,Pennsylvania,1050,1.16,1941,1.06"
"29,Mo,Missouri,961,1.06,1947,1.06"
"13,Ga,Georgia,947,1.05,1964,1.07"
"37,Nc,North Carolina,864,0.96,1792,0.97"
"20,Ks,Kansas,856,0.95,1924,1.05"
"55,Wi,Wisconsin,828,0.92,1496,0.81"
"34,Nj,New Jersey,807,0.89,1529,0.83"
"35,Nm,New Mexico,773,0.86,1576,0.86"
"40,Ok,Oklahoma,745,0.82,1582,0.86"
"24,Md,Maryland,722,0.8,1403,0.76"
"18,In,Indiana,636,0.7,1211,0.66"
"22,La,Louisiana,627,0.69,1330,0.72"
"47,Tn,Tennessee,626,0.69,1276,0.69"
"09,Ct,Connecticut,622,0.69,1213,0.66"
"19,Ia,Iowa,566,0.63,1090,0.59"
"56,Wy,Wyoming,535,0.59,1133,0.62"
"38,Nd,North Dakota,469,0.52,962,0.52"
"31,Ne,Nebraska,449,0.5,883,0.48"
"01,Al,Alabama,415,0.46,917,0.5"
"45,Sc,South Carolina,411,0.46,916,0.5"
"33,Nh,New Hampshire,401,0.44,804,0.44"
"46,Sd,South Dakota,345,0.38,719,0.39"
"05,Ar,Arkansas,338,0.37,739,0.4"
"21,Ky,Kentucky,320,0.35,607,0.33"
"23,Me,Maine,292,0.32,565,0.31"
"28,Ms,Mississippi,256,0.28,555,0.3"
"11,Dc,District of Columbia,193,0.21,259,0.14"
"50,Vt,Vermont,174,0.19,289,0.16"
"44,Ri,Rhode Island,167,0.18,327,0.18"
"54,Wv,West Virginia,104,0.12,219,0.12"
"10,De,Delaware,68,0.08,130,0.07"
"53,,State Non-Migrant,1744820,,3831489,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
