"1990 - 1991 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,56-Wyoming,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,10784,,23236,"
"08,Co,Colorado,1376,12.76,2854,12.28"
"06,Ca,California,1016,9.42,2169,9.33"
"30,Mt,Montana,605,5.61,1283,5.52"
"49,Ut,Utah,584,5.42,1391,5.99"
"48,Tx,Texas,540,5.01,1305,5.62"
"04,Az,Arizona,509,4.72,1041,4.48"
"31,Ne,Nebraska,508,4.71,1120,4.82"
"57,FR,Foreign,458,4.25,1111,4.78"
"46,Sd,South Dakota,384,3.56,822,3.54"
"32,Nv,Nevada,353,3.27,729,3.14"
"53,Wa,Washington,305,2.83,637,2.74"
"16,Id,Idaho,293,2.72,648,2.79"
"12,Fl,Florida,219,2.03,454,1.95"
"35,Nm,New Mexico,210,1.95,520,2.24"
"20,Ks,Kansas,196,1.82,450,1.94"
"41,Or,Oregon,195,1.81,416,1.79"
"38,Nd,North Dakota,190,1.76,456,1.96"
"27,Mn,Minnesota,187,1.73,332,1.43"
"17,Il,Illinois,175,1.62,358,1.54"
"40,Ok,Oklahoma,165,1.53,397,1.71"
"29,Mo,Missouri,160,1.48,360,1.55"
"26,Mi,Michigan,151,1.4,286,1.23"
"36,Ny,New York,139,1.29,221,0.95"
"39,Oh,Ohio,138,1.28,268,1.15"
"19,Ia,Iowa,137,1.27,290,1.25"
"42,Pa,Pennsylvania,135,1.25,276,1.19"
"55,Wi,Wisconsin,122,1.13,235,1.01"
"51,Va,Virginia,106,0.98,217,0.93"
"37,Nc,North Carolina,105,0.97,228,0.98"
"02,Ak,Alaska,92,0.85,215,0.93"
"22,La,Louisiana,90,0.83,248,1.07"
"18,In,Indiana,83,0.77,172,0.74"
"13,Ga,Georgia,78,0.72,157,0.68"
"25,Ma,Massachusetts,71,0.66,100,0.43"
"47,Tn,Tennessee,69,0.64,170,0.73"
"34,Nj,New Jersey,64,0.59,108,0.46"
"01,Al,Alabama,56,0.52,148,0.64"
"24,Md,Maryland,56,0.52,106,0.46"
"21,Ky,Kentucky,53,0.49,99,0.43"
"05,Ar,Arkansas,52,0.48,128,0.55"
"45,Sc,South Carolina,52,0.48,116,0.5"
"09,Ct,Connecticut,47,0.44,77,0.33"
"28,Ms,Mississippi,47,0.44,104,0.45"
"15,Hi,Hawaii,43,0.4,94,0.4"
"33,Nh,New Hampshire,39,0.36,75,0.32"
"50,Vt,Vermont,37,0.34,48,0.21"
"23,Me,Maine,36,0.33,82,0.35"
"54,Wv,West Virginia,25,0.23,57,0.25"
"11,Dc,District of Columbia,14,0.13,27,0.12"
"44,Ri,Rhode Island,10,0.09,16,0.07"
"10,De,Delaware,9,0.08,15,0.06"
"56,,State Non-Migrant,152851,,369971,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
