"1990 - 1991 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,57-Foreign,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,174042,,382011,"
"06,Ca,California,25189,14.47,50814,13.3"
"48,Tx,Texas,14084,8.09,33229,8.7"
"12,Fl,Florida,11968,6.88,25967,6.8"
"51,Va,Virginia,11836,6.8,27156,7.11"
"36,Ny,New York,7176,4.12,14641,3.83"
"13,Ga,Georgia,6743,3.87,16077,4.21"
"53,Wa,Washington,6249,3.59,13585,3.56"
"37,Nc,North Carolina,5962,3.43,13337,3.49"
"24,Md,Maryland,4681,2.69,11116,2.91"
"17,Il,Illinois,4642,2.67,9427,2.47"
"08,Co,Colorado,4396,2.53,10097,2.64"
"42,Pa,Pennsylvania,4277,2.46,8302,2.17"
"39,Oh,Ohio,3959,2.27,7968,2.09"
"45,Sc,South Carolina,3845,2.21,8621,2.26"
"26,Mi,Michigan,3733,2.14,7358,1.93"
"22,La,Louisiana,3485,2,8050,2.11"
"34,Nj,New Jersey,3116,1.79,6809,1.78"
"40,Ok,Oklahoma,3109,1.79,7667,2.01"
"04,Az,Arizona,3087,1.77,6913,1.81"
"01,Al,Alabama,3012,1.73,7421,1.94"
"15,Hi,Hawaii,2582,1.48,5664,1.48"
"47,Tn,Tennessee,2463,1.42,5868,1.54"
"20,Ks,Kansas,2450,1.41,6292,1.65"
"21,Ky,Kentucky,2407,1.38,5467,1.43"
"29,Mo,Missouri,2399,1.38,5247,1.37"
"35,Nm,New Mexico,2231,1.28,5457,1.43"
"25,Ma,Massachusetts,2196,1.26,4284,1.12"
"18,In,Indiana,2027,1.16,4346,1.14"
"28,Ms,Mississippi,1533,0.88,3442,0.9"
"32,Nv,Nevada,1466,0.84,3175,0.83"
"55,Wi,Wisconsin,1456,0.84,2661,0.7"
"41,Or,Oregon,1397,0.8,2697,0.71"
"09,Ct,Connecticut,1359,0.78,2634,0.69"
"05,Ar,Arkansas,1324,0.76,3010,0.79"
"27,Mn,Minnesota,1323,0.76,2474,0.65"
"31,Ne,Nebraska,1235,0.71,3017,0.79"
"49,Ut,Utah,1035,0.59,2714,0.71"
"23,Me,Maine,927,0.53,2060,0.54"
"19,Ia,Iowa,880,0.51,1699,0.44"
"11,Dc,District of Columbia,832,0.48,1670,0.44"
"38,Nd,North Dakota,787,0.45,1875,0.49"
"16,Id,Idaho,664,0.38,1460,0.38"
"46,Sd,South Dakota,633,0.36,1558,0.41"
"30,Mt,Montana,630,0.36,1452,0.38"
"54,Wv,West Virginia,579,0.33,1145,0.3"
"10,De,Delaware,555,0.32,1363,0.36"
"44,Ri,Rhode Island,536,0.31,1160,0.3"
"02,Ak,Alaska,505,0.29,1200,0.31"
"56,Wy,Wyoming,458,0.26,1111,0.29"
"33,Nh,New Hampshire,424,0.24,869,0.23"
"50,Vt,Vermont,200,0.11,385,0.1"
"57,,State Non-Migrant,562138,,1251154,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
