"1990 - 1991 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,20-Kansas,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,39833,,84631,"
"29,Mo,Missouri,8322,20.89,15760,18.62"
"48,Tx,Texas,3890,9.77,8693,10.27"
"40,Ok,Oklahoma,2676,6.72,6027,7.12"
"06,Ca,California,2298,5.77,4356,5.15"
"08,Co,Colorado,2088,5.24,4417,5.22"
"57,FR,Foreign,1942,4.88,4566,5.4"
"31,Ne,Nebraska,1337,3.36,3015,3.56"
"12,Fl,Florida,1300,3.26,2581,3.05"
"17,Il,Illinois,1259,3.16,2568,3.03"
"04,Az,Arizona,963,2.42,1872,2.21"
"53,Wa,Washington,856,2.15,1924,2.27"
"05,Ar,Arkansas,813,2.04,1801,2.13"
"13,Ga,Georgia,804,2.02,1879,2.22"
"19,Ia,Iowa,792,1.99,1779,2.1"
"51,Va,Virginia,689,1.73,1607,1.9"
"39,Oh,Ohio,656,1.65,1520,1.8"
"37,Nc,North Carolina,551,1.38,1285,1.52"
"36,Ny,New York,541,1.36,1030,1.22"
"27,Mn,Minnesota,536,1.35,1110,1.31"
"18,In,Indiana,514,1.29,1243,1.47"
"26,Mi,Michigan,509,1.28,1094,1.29"
"42,Pa,Pennsylvania,507,1.27,1162,1.37"
"47,Tn,Tennessee,472,1.18,1052,1.24"
"35,Nm,New Mexico,465,1.17,1047,1.24"
"01,Al,Alabama,399,1,970,1.15"
"22,La,Louisiana,388,0.97,870,1.03"
"55,Wi,Wisconsin,375,0.94,811,0.96"
"21,Ky,Kentucky,315,0.79,804,0.95"
"32,Nv,Nevada,310,0.78,616,0.73"
"24,Md,Maryland,298,0.75,655,0.77"
"41,Or,Oregon,297,0.75,668,0.79"
"15,Hi,Hawaii,274,0.69,681,0.8"
"45,Sc,South Carolina,262,0.66,570,0.67"
"34,Nj,New Jersey,251,0.63,528,0.62"
"46,Sd,South Dakota,198,0.5,458,0.54"
"56,Wy,Wyoming,196,0.49,450,0.53"
"28,Ms,Mississippi,195,0.49,473,0.56"
"25,Ma,Massachusetts,189,0.47,328,0.39"
"49,Ut,Utah,178,0.45,378,0.45"
"02,Ak,Alaska,164,0.41,384,0.45"
"09,Ct,Connecticut,135,0.34,255,0.3"
"16,Id,Idaho,135,0.34,317,0.37"
"30,Mt,Montana,115,0.29,248,0.29"
"38,Nd,North Dakota,79,0.2,175,0.21"
"54,Wv,West Virginia,73,0.18,169,0.2"
"23,Me,Maine,48,0.12,94,0.11"
"11,Dc,District of Columbia,42,0.11,61,0.07"
"44,Ri,Rhode Island,41,0.1,86,0.1"
"33,Nh,New Hampshire,41,0.1,75,0.09"
"10,De,Delaware,35,0.09,74,0.09"
"50,Vt,Vermont,20,0.05,45,0.05"
"20,,State Non-Migrant,852446,,1969241,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
