"1990 - 1991 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,24-Maryland,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,69552,,133713,"
"51,Va,Virginia,10977,15.78,19486,14.57"
"11,Dc,District of Columbia,6921,9.95,12109,9.06"
"42,Pa,Pennsylvania,6529,9.39,12867,9.62"
"12,Fl,Florida,6322,9.09,11943,8.93"
"06,Ca,California,3823,5.5,6703,5.01"
"57,FR,Foreign,3675,5.28,7942,5.94"
"37,Nc,North Carolina,2875,4.13,5740,4.29"
"36,Ny,New York,2555,3.67,4461,3.34"
"48,Tx,Texas,2408,3.46,5253,3.93"
"54,Wv,West Virginia,2028,2.92,4266,3.19"
"10,De,Delaware,1996,2.87,3721,2.78"
"13,Ga,Georgia,1745,2.51,3580,2.68"
"34,Nj,New Jersey,1627,2.34,3013,2.25"
"39,Oh,Ohio,1526,2.19,3043,2.28"
"45,Sc,South Carolina,1202,1.73,2625,1.96"
"17,Il,Illinois,1065,1.53,2055,1.54"
"08,Co,Colorado,893,1.28,1780,1.33"
"25,Ma,Massachusetts,889,1.28,1516,1.13"
"47,Tn,Tennessee,872,1.25,1858,1.39"
"26,Mi,Michigan,730,1.05,1471,1.1"
"53,Wa,Washington,722,1.04,1403,1.05"
"04,Az,Arizona,670,0.96,1264,0.95"
"09,Ct,Connecticut,576,0.83,1042,0.78"
"01,Al,Alabama,513,0.74,1111,0.83"
"18,In,Indiana,499,0.72,1055,0.79"
"22,La,Louisiana,469,0.67,980,0.73"
"29,Mo,Missouri,466,0.67,941,0.7"
"21,Ky,Kentucky,448,0.64,950,0.71"
"15,Hi,Hawaii,389,0.56,851,0.64"
"27,Mn,Minnesota,364,0.52,777,0.58"
"55,Wi,Wisconsin,326,0.47,651,0.49"
"35,Nm,New Mexico,303,0.44,616,0.46"
"20,Ks,Kansas,275,0.4,624,0.47"
"41,Or,Oregon,251,0.36,487,0.36"
"32,Nv,Nevada,245,0.35,511,0.38"
"23,Me,Maine,241,0.35,532,0.4"
"40,Ok,Oklahoma,239,0.34,546,0.41"
"28,Ms,Mississippi,222,0.32,478,0.36"
"49,Ut,Utah,205,0.29,471,0.35"
"19,Ia,Iowa,186,0.27,385,0.29"
"33,Nh,New Hampshire,186,0.27,337,0.25"
"05,Ar,Arkansas,169,0.24,376,0.28"
"44,Ri,Rhode Island,167,0.24,309,0.23"
"02,Ak,Alaska,138,0.2,308,0.23"
"31,Ne,Nebraska,129,0.19,279,0.21"
"50,Vt,Vermont,124,0.18,218,0.16"
"16,Id,Idaho,112,0.16,257,0.19"
"30,Mt,Montana,98,0.14,178,0.13"
"56,Wy,Wyoming,56,0.08,106,0.08"
"38,Nd,North Dakota,54,0.08,115,0.09"
"46,Sd,South Dakota,52,0.07,123,0.09"
"24,,State Non-Migrant,1791102,,3835761,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
