"1990 - 1991 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,26-Michigan,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,75276,,142118,"
"12,Fl,Florida,9876,13.12,17711,12.46"
"06,Ca,California,5950,7.9,9602,6.76"
"39,Oh,Ohio,5650,7.51,11267,7.93"
"17,Il,Illinois,5153,6.85,8630,6.07"
"18,In,Indiana,4713,6.26,9732,6.85"
"48,Tx,Texas,3857,5.12,7983,5.62"
"57,FR,Foreign,3787,5.03,6537,4.6"
"47,Tn,Tennessee,3240,4.3,7511,5.29"
"55,Wi,Wisconsin,2520,3.35,5143,3.62"
"13,Ga,Georgia,2161,2.87,4190,2.95"
"04,Az,Arizona,2156,2.86,3851,2.71"
"37,Nc,North Carolina,1990,2.64,3822,2.69"
"36,Ny,New York,1961,2.61,3510,2.47"
"51,Va,Virginia,1780,2.36,3296,2.32"
"08,Co,Colorado,1546,2.05,2637,1.86"
"42,Pa,Pennsylvania,1525,2.03,3162,2.22"
"21,Ky,Kentucky,1253,1.66,2607,1.83"
"53,Wa,Washington,1190,1.58,2069,1.46"
"27,Mn,Minnesota,1133,1.51,2009,1.41"
"29,Mo,Missouri,1064,1.41,2188,1.54"
"45,Sc,South Carolina,1039,1.38,2081,1.46"
"01,Al,Alabama,925,1.23,1977,1.39"
"24,Md,Maryland,921,1.22,1686,1.19"
"32,Nv,Nevada,866,1.15,1465,1.03"
"34,Nj,New Jersey,716,0.95,1398,0.98"
"25,Ma,Massachusetts,713,0.95,1191,0.84"
"40,Ok,Oklahoma,584,0.78,1180,0.83"
"05,Ar,Arkansas,577,0.77,1255,0.88"
"22,La,Louisiana,544,0.72,1064,0.75"
"15,Hi,Hawaii,511,0.68,774,0.54"
"19,Ia,Iowa,486,0.65,1005,0.71"
"28,Ms,Mississippi,483,0.64,1002,0.71"
"09,Ct,Connecticut,447,0.59,833,0.59"
"20,Ks,Kansas,429,0.57,933,0.66"
"41,Or,Oregon,378,0.5,707,0.5"
"02,Ak,Alaska,363,0.48,691,0.49"
"35,Nm,New Mexico,339,0.45,615,0.43"
"54,Wv,West Virginia,301,0.4,652,0.46"
"49,Ut,Utah,285,0.38,593,0.42"
"31,Ne,Nebraska,276,0.37,606,0.43"
"11,Dc,District of Columbia,234,0.31,283,0.2"
"16,Id,Idaho,189,0.25,384,0.27"
"30,Mt,Montana,187,0.25,362,0.25"
"23,Me,Maine,161,0.21,322,0.23"
"56,Wy,Wyoming,151,0.2,286,0.2"
"10,De,Delaware,146,0.19,260,0.18"
"33,Nh,New Hampshire,137,0.18,289,0.2"
"46,Sd,South Dakota,121,0.16,248,0.17"
"38,Nd,North Dakota,98,0.13,205,0.14"
"44,Ri,Rhode Island,90,0.12,173,0.12"
"50,Vt,Vermont,74,0.1,141,0.1"
"26,,State Non-Migrant,3255543,,7249539,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
