"1990 - 1991 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,36-New York,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,180684,,337429,"
"12,Fl,Florida,36494,20.2,71586,21.22"
"34,Nj,New Jersey,25672,14.21,49750,14.74"
"06,Ca,California,15057,8.33,23141,6.86"
"42,Pa,Pennsylvania,10709,5.93,21587,6.4"
"57,FR,Foreign,9662,5.35,18631,5.52"
"09,Ct,Connecticut,8760,4.85,15468,4.58"
"51,Va,Virginia,7576,4.19,14261,4.23"
"25,Ma,Massachusetts,6290,3.48,9721,2.88"
"37,Nc,North Carolina,6262,3.47,12606,3.74"
"48,Tx,Texas,4979,2.76,9778,2.9"
"13,Ga,Georgia,4676,2.59,9399,2.79"
"24,Md,Maryland,4470,2.47,7890,2.34"
"39,Oh,Ohio,3401,1.88,6551,1.94"
"17,Il,Illinois,3198,1.77,5525,1.64"
"45,Sc,South Carolina,3068,1.7,6328,1.88"
"04,Az,Arizona,2508,1.39,4505,1.34"
"08,Co,Colorado,2131,1.18,3549,1.05"
"26,Mi,Michigan,2051,1.14,4007,1.19"
"53,Wa,Washington,1874,1.04,3086,0.91"
"32,Nv,Nevada,1377,0.76,2490,0.74"
"47,Tn,Tennessee,1306,0.72,2584,0.77"
"11,Dc,District of Columbia,1305,0.72,1583,0.47"
"50,Vt,Vermont,1280,0.71,2271,0.67"
"18,In,Indiana,1120,0.62,2186,0.65"
"33,Nh,New Hampshire,1070,0.59,1827,0.54"
"01,Al,Alabama,967,0.54,2039,0.6"
"27,Mn,Minnesota,940,0.52,1703,0.5"
"29,Mo,Missouri,916,0.51,1801,0.53"
"23,Me,Maine,912,0.5,1648,0.49"
"44,Ri,Rhode Island,885,0.49,1564,0.46"
"10,De,Delaware,867,0.48,1576,0.47"
"22,La,Louisiana,818,0.45,1461,0.43"
"55,Wi,Wisconsin,808,0.45,1471,0.44"
"15,Hi,Hawaii,786,0.44,1382,0.41"
"21,Ky,Kentucky,765,0.42,1498,0.44"
"35,Nm,New Mexico,756,0.42,1267,0.38"
"41,Or,Oregon,682,0.38,1200,0.36"
"40,Ok,Oklahoma,625,0.35,1215,0.36"
"20,Ks,Kansas,539,0.3,1212,0.36"
"49,Ut,Utah,413,0.23,812,0.24"
"19,Ia,Iowa,373,0.21,755,0.22"
"28,Ms,Mississippi,369,0.2,712,0.21"
"54,Wv,West Virginia,358,0.2,746,0.22"
"02,Ak,Alaska,347,0.19,626,0.19"
"05,Ar,Arkansas,289,0.16,615,0.18"
"31,Ne,Nebraska,256,0.14,510,0.15"
"16,Id,Idaho,193,0.11,385,0.11"
"30,Mt,Montana,189,0.1,338,0.1"
"56,Wy,Wyoming,139,0.08,221,0.07"
"46,Sd,South Dakota,102,0.06,204,0.06"
"38,Nd,North Dakota,94,0.05,158,0.05"
"36,,State Non-Migrant,6325408,,13383267,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
