"1990 - 1991 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,40-Oklahoma,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,41901,,90844,"
"48,Tx,Texas,10613,25.33,22794,25.09"
"06,Ca,California,3162,7.55,6100,6.71"
"05,Ar,Arkansas,2526,6.03,5694,6.27"
"20,Ks,Kansas,2481,5.92,5662,6.23"
"57,FR,Foreign,2435,5.81,5451,6"
"29,Mo,Missouri,1943,4.64,4208,4.63"
"12,Fl,Florida,1624,3.88,3324,3.66"
"08,Co,Colorado,1401,3.34,3010,3.31"
"17,Il,Illinois,907,2.16,1858,2.05"
"04,Az,Arizona,904,2.16,1856,2.04"
"13,Ga,Georgia,850,2.03,1969,2.17"
"47,Tn,Tennessee,850,2.03,1962,2.16"
"53,Wa,Washington,745,1.78,1582,1.74"
"51,Va,Virginia,731,1.74,1584,1.74"
"37,Nc,North Carolina,704,1.68,1527,1.68"
"35,Nm,New Mexico,703,1.68,1560,1.72"
"22,La,Louisiana,701,1.67,1639,1.8"
"39,Oh,Ohio,631,1.51,1500,1.65"
"26,Mi,Michigan,529,1.26,1089,1.2"
"36,Ny,New York,528,1.26,1036,1.14"
"18,In,Indiana,516,1.23,1198,1.32"
"32,Nv,Nevada,483,1.15,968,1.07"
"01,Al,Alabama,449,1.07,1106,1.22"
"42,Pa,Pennsylvania,431,1.03,942,1.04"
"19,Ia,Iowa,362,0.86,807,0.89"
"45,Sc,South Carolina,361,0.86,770,0.85"
"27,Mn,Minnesota,322,0.77,684,0.75"
"31,Ne,Nebraska,312,0.74,689,0.76"
"55,Wi,Wisconsin,309,0.74,755,0.83"
"41,Or,Oregon,301,0.72,619,0.68"
"24,Md,Maryland,301,0.72,630,0.69"
"28,Ms,Mississippi,296,0.71,732,0.81"
"21,Ky,Kentucky,292,0.7,700,0.77"
"15,Hi,Hawaii,251,0.6,542,0.6"
"02,Ak,Alaska,250,0.6,614,0.68"
"34,Nj,New Jersey,219,0.52,482,0.53"
"49,Ut,Utah,176,0.42,407,0.45"
"56,Wy,Wyoming,165,0.39,397,0.44"
"30,Mt,Montana,148,0.35,311,0.34"
"25,Ma,Massachusetts,147,0.35,293,0.32"
"09,Ct,Connecticut,135,0.32,263,0.29"
"16,Id,Idaho,134,0.32,319,0.35"
"46,Sd,South Dakota,120,0.29,263,0.29"
"54,Wv,West Virginia,100,0.24,242,0.27"
"11,Dc,District of Columbia,65,0.16,80,0.09"
"23,Me,Maine,63,0.15,164,0.18"
"33,Nh,New Hampshire,57,0.14,110,0.12"
"38,Nd,North Dakota,56,0.13,108,0.12"
"10,De,Delaware,56,0.13,134,0.15"
"44,Ri,Rhode Island,36,0.09,68,0.07"
"50,Vt,Vermont,20,0.05,42,0.05"
"40,,State Non-Migrant,993020,,2317545,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
