"1990 - 1991 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,44-Rhode Island,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,14181,,26720,"
"25,Ma,Massachusetts,3336,23.52,5751,21.52"
"12,Fl,Florida,2222,15.67,4281,16.02"
"09,Ct,Connecticut,987,6.96,1761,6.59"
"06,Ca,California,886,6.25,1529,5.72"
"36,Ny,New York,863,6.09,1434,5.37"
"51,Va,Virginia,620,4.37,1569,5.87"
"57,FR,Foreign,462,3.26,891,3.33"
"42,Pa,Pennsylvania,371,2.62,774,2.9"
"34,Nj,New Jersey,357,2.52,584,2.19"
"33,Nh,New Hampshire,310,2.19,551,2.06"
"48,Tx,Texas,303,2.14,600,2.25"
"37,Nc,North Carolina,266,1.88,582,2.18"
"24,Md,Maryland,253,1.78,463,1.73"
"23,Me,Maine,248,1.75,538,2.01"
"13,Ga,Georgia,216,1.52,464,1.74"
"45,Sc,South Carolina,212,1.49,504,1.89"
"39,Oh,Ohio,205,1.45,456,1.71"
"17,Il,Illinois,190,1.34,382,1.43"
"53,Wa,Washington,167,1.18,327,1.22"
"50,Vt,Vermont,138,0.97,230,0.86"
"04,Az,Arizona,133,0.94,225,0.84"
"26,Mi,Michigan,129,0.91,245,0.92"
"08,Co,Colorado,119,0.84,203,0.76"
"47,Tn,Tennessee,105,0.74,216,0.81"
"32,Nv,Nevada,92,0.65,164,0.61"
"22,La,Louisiana,75,0.53,158,0.59"
"18,In,Indiana,69,0.49,141,0.53"
"15,Hi,Hawaii,69,0.49,143,0.54"
"29,Mo,Missouri,67,0.47,131,0.49"
"27,Mn,Minnesota,63,0.44,120,0.45"
"11,Dc,District of Columbia,61,0.43,71,0.27"
"55,Wi,Wisconsin,58,0.41,118,0.44"
"01,Al,Alabama,55,0.39,134,0.5"
"41,Or,Oregon,53,0.37,101,0.38"
"21,Ky,Kentucky,41,0.29,100,0.37"
"10,De,Delaware,40,0.28,76,0.28"
"40,Ok,Oklahoma,39,0.28,99,0.37"
"28,Ms,Mississippi,35,0.25,84,0.31"
"35,Nm,New Mexico,34,0.24,62,0.23"
"20,Ks,Kansas,31,0.22,71,0.27"
"54,Wv,West Virginia,30,0.21,59,0.22"
"19,Ia,Iowa,25,0.18,51,0.19"
"05,Ar,Arkansas,24,0.17,58,0.22"
"02,Ak,Alaska,23,0.16,43,0.16"
"49,Ut,Utah,22,0.16,39,0.15"
"31,Ne,Nebraska,21,0.15,41,0.15"
"30,Mt,Montana,15,0.11,26,0.1"
"46,Sd,South Dakota,14,0.1,27,0.1"
"16,Id,Idaho,14,0.1,24,0.09"
"56,Wy,Wyoming,10,0.07,16,0.06"
"38,Nd,North Dakota,3,0.02,3,0.01"
"44,,State Non-Migrant,367051,,763293,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
