"1990 - 1991 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,53-Washington,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,62841,,128296,"
"06,Ca,California,11517,18.33,21920,17.09"
"41,Or,Oregon,9096,14.47,17567,13.69"
"57,FR,Foreign,4999,7.95,10171,7.93"
"16,Id,Idaho,3320,5.28,7136,5.56"
"48,Tx,Texas,2960,4.71,6804,5.3"
"04,Az,Arizona,2366,3.77,4589,3.58"
"02,Ak,Alaska,2094,3.33,4036,3.15"
"08,Co,Colorado,1892,3.01,3838,2.99"
"12,Fl,Florida,1713,2.73,3536,2.76"
"30,Mt,Montana,1662,2.64,3388,2.64"
"15,Hi,Hawaii,1443,2.3,2923,2.28"
"32,Nv,Nevada,1180,1.88,2252,1.76"
"17,Il,Illinois,1069,1.7,2226,1.74"
"36,Ny,New York,1026,1.63,1867,1.46"
"49,Ut,Utah,1001,1.59,2376,1.85"
"51,Va,Virginia,982,1.56,2332,1.82"
"13,Ga,Georgia,874,1.39,2096,1.63"
"27,Mn,Minnesota,819,1.3,1636,1.28"
"37,Nc,North Carolina,794,1.26,1741,1.36"
"39,Oh,Ohio,760,1.21,1552,1.21"
"42,Pa,Pennsylvania,737,1.17,1545,1.2"
"26,Mi,Michigan,719,1.14,1519,1.18"
"55,Wi,Wisconsin,601,0.96,1221,0.95"
"29,Mo,Missouri,600,0.95,1320,1.03"
"40,Ok,Oklahoma,587,0.93,1433,1.12"
"35,Nm,New Mexico,543,0.86,1181,0.92"
"20,Ks,Kansas,531,0.84,1262,0.98"
"24,Md,Maryland,488,0.78,990,0.77"
"25,Ma,Massachusetts,481,0.77,820,0.64"
"47,Tn,Tennessee,480,0.76,1099,0.86"
"18,In,Indiana,476,0.76,1019,0.79"
"22,La,Louisiana,455,0.72,1036,0.81"
"01,Al,Alabama,394,0.63,905,0.71"
"19,Ia,Iowa,392,0.62,881,0.69"
"34,Nj,New Jersey,385,0.61,689,0.54"
"09,Ct,Connecticut,373,0.59,785,0.61"
"45,Sc,South Carolina,360,0.57,826,0.64"
"05,Ar,Arkansas,343,0.55,778,0.61"
"21,Ky,Kentucky,325,0.52,749,0.58"
"56,Wy,Wyoming,305,0.49,637,0.5"
"31,Ne,Nebraska,299,0.48,635,0.49"
"38,Nd,North Dakota,268,0.43,565,0.44"
"46,Sd,South Dakota,235,0.37,491,0.38"
"28,Ms,Mississippi,216,0.34,539,0.42"
"11,Dc,District of Columbia,154,0.25,226,0.18"
"23,Me,Maine,142,0.23,306,0.24"
"33,Nh,New Hampshire,96,0.15,205,0.16"
"54,Wv,West Virginia,92,0.15,208,0.16"
"44,Ri,Rhode Island,71,0.11,175,0.14"
"50,Vt,Vermont,66,0.11,133,0.1"
"10,De,Delaware,60,0.1,132,0.1"
"53,,State Non-Migrant,1744820,,3831489,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
