"1990 - 1991 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,54-West Virginia,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,19745,,39200,"
"39,Oh,Ohio,2992,15.15,6047,15.43"
"51,Va,Virginia,2955,14.97,5798,14.79"
"37,Nc,North Carolina,2320,11.75,4607,11.75"
"12,Fl,Florida,1626,8.23,2999,7.65"
"42,Pa,Pennsylvania,1400,7.09,2783,7.1"
"24,Md,Maryland,1399,7.09,2691,6.86"
"45,Sc,South Carolina,740,3.75,1511,3.85"
"21,Ky,Kentucky,665,3.37,1456,3.71"
"57,FR,Foreign,538,2.72,890,2.27"
"48,Tx,Texas,533,2.7,1158,2.95"
"13,Ga,Georgia,505,2.56,1062,2.71"
"47,Tn,Tennessee,455,2.3,951,2.43"
"06,Ca,California,445,2.25,729,1.86"
"18,In,Indiana,276,1.4,630,1.61"
"36,Ny,New York,262,1.33,480,1.22"
"26,Mi,Michigan,221,1.12,454,1.16"
"17,Il,Illinois,220,1.11,429,1.09"
"34,Nj,New Jersey,183,0.93,334,0.85"
"08,Co,Colorado,161,0.82,316,0.81"
"01,Al,Alabama,160,0.81,345,0.88"
"04,Az,Arizona,130,0.66,271,0.69"
"22,La,Louisiana,128,0.65,294,0.75"
"10,De,Delaware,120,0.61,243,0.62"
"53,Wa,Washington,104,0.53,219,0.56"
"40,Ok,Oklahoma,89,0.45,203,0.52"
"29,Mo,Missouri,86,0.44,184,0.47"
"25,Ma,Massachusetts,85,0.43,139,0.35"
"55,Wi,Wisconsin,76,0.38,159,0.41"
"28,Ms,Mississippi,74,0.37,166,0.42"
"09,Ct,Connecticut,71,0.36,176,0.45"
"32,Nv,Nevada,66,0.33,118,0.3"
"20,Ks,Kansas,63,0.32,139,0.35"
"11,Dc,District of Columbia,63,0.32,83,0.21"
"15,Hi,Hawaii,61,0.31,115,0.29"
"35,Nm,New Mexico,51,0.26,111,0.28"
"05,Ar,Arkansas,49,0.25,111,0.28"
"02,Ak,Alaska,41,0.21,61,0.16"
"19,Ia,Iowa,41,0.21,104,0.27"
"27,Mn,Minnesota,38,0.19,89,0.23"
"23,Me,Maine,31,0.16,57,0.15"
"49,Ut,Utah,30,0.15,56,0.14"
"41,Or,Oregon,30,0.15,57,0.15"
"56,Wy,Wyoming,25,0.13,57,0.15"
"31,Ne,Nebraska,25,0.13,60,0.15"
"16,Id,Idaho,21,0.11,56,0.14"
"33,Nh,New Hampshire,20,0.1,49,0.13"
"30,Mt,Montana,17,0.09,41,0.1"
"46,Sd,South Dakota,16,0.08,35,0.09"
"38,Nd,North Dakota,15,0.08,29,0.07"
"50,Vt,Vermont,15,0.08,31,0.08"
"44,Ri,Rhode Island,8,0.04,17,0.04"
"54,,State Non-Migrant,563696,,1314489,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
