"1991 - 1992 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,06-California,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,236007,,429962,"
"57,FR,Foreign,30168,12.78,57708,13.42"
"48,Tx,Texas,17442,7.39,34867,8.11"
"36,Ny,New York,14141,5.99,21663,5.04"
"04,Az,Arizona,12453,5.28,23849,5.55"
"53,Wa,Washington,11353,4.81,22065,5.13"
"12,Fl,Florida,10325,4.37,18558,4.32"
"17,Il,Illinois,9833,4.17,17712,4.12"
"32,Nv,Nevada,8515,3.61,15681,3.65"
"41,Or,Oregon,7965,3.37,14855,3.45"
"25,Ma,Massachusetts,7423,3.15,10863,2.53"
"08,Co,Colorado,6899,2.92,12217,2.84"
"51,Va,Virginia,6340,2.69,12745,2.96"
"15,Hi,Hawaii,5948,2.52,11787,2.74"
"42,Pa,Pennsylvania,5887,2.49,9798,2.28"
"26,Mi,Michigan,5775,2.45,9480,2.2"
"34,Nj,New Jersey,5698,2.41,9558,2.22"
"39,Oh,Ohio,5302,2.25,8883,2.07"
"13,Ga,Georgia,3953,1.67,7543,1.75"
"24,Md,Maryland,3799,1.61,6566,1.53"
"29,Mo,Missouri,3569,1.51,6382,1.48"
"37,Nc,North Carolina,3438,1.46,6844,1.59"
"09,Ct,Connecticut,3401,1.44,5438,1.26"
"27,Mn,Minnesota,3135,1.33,5009,1.16"
"49,Ut,Utah,3041,1.29,6482,1.51"
"22,La,Louisiana,2926,1.24,5616,1.31"
"18,In,Indiana,2852,1.21,4802,1.12"
"35,Nm,New Mexico,2758,1.17,5211,1.21"
"40,Ok,Oklahoma,2672,1.13,5068,1.18"
"55,Wi,Wisconsin,2559,1.08,4074,0.95"
"47,Tn,Tennessee,2552,1.08,4707,1.09"
"20,Ks,Kansas,1887,0.8,3577,0.83"
"19,Ia,Iowa,1803,0.76,3111,0.72"
"16,Id,Idaho,1798,0.76,3755,0.87"
"02,Ak,Alaska,1708,0.72,3433,0.8"
"45,Sc,South Carolina,1682,0.71,3611,0.84"
"01,Al,Alabama,1507,0.64,2922,0.68"
"05,Ar,Arkansas,1495,0.63,2906,0.68"
"31,Ne,Nebraska,1407,0.6,2544,0.59"
"21,Ky,Kentucky,1321,0.56,2389,0.56"
"28,Ms,Mississippi,1195,0.51,2393,0.56"
"11,Dc,District of Columbia,1133,0.48,1561,0.36"
"30,Mt,Montana,1076,0.46,1815,0.42"
"33,Nh,New Hampshire,1062,0.45,1647,0.38"
"44,Ri,Rhode Island,874,0.37,1497,0.35"
"23,Me,Maine,868,0.37,1476,0.34"
"56,Wy,Wyoming,692,0.29,1210,0.28"
"46,Sd,South Dakota,541,0.23,935,0.22"
"38,Nd,North Dakota,518,0.22,942,0.22"
"50,Vt,Vermont,495,0.21,680,0.16"
"10,De,Delaware,425,0.18,816,0.19"
"54,Wv,West Virginia,398,0.17,711,0.17"
"06,,State Non-Migrant,10337480,,23340798,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
