"1991 - 1992 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,15-Hawaii,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,28167,,54272,"
"06,Ca,California,7299,25.91,13762,25.36"
"57,FR,Foreign,3576,12.7,6868,12.65"
"48,Tx,Texas,1445,5.13,2892,5.33"
"53,Wa,Washington,1297,4.6,2563,4.72"
"12,Fl,Florida,1058,3.76,1954,3.6"
"51,Va,Virginia,928,3.29,2101,3.87"
"36,Ny,New York,887,3.15,1564,2.88"
"37,Nc,North Carolina,644,2.29,1589,2.93"
"17,Il,Illinois,604,2.14,1022,1.88"
"08,Co,Colorado,596,2.12,1159,2.14"
"04,Az,Arizona,574,2.04,1080,1.99"
"13,Ga,Georgia,550,1.95,1266,2.33"
"41,Or,Oregon,511,1.81,825,1.52"
"26,Mi,Michigan,504,1.79,775,1.43"
"42,Pa,Pennsylvania,472,1.68,747,1.38"
"24,Md,Maryland,467,1.66,978,1.8"
"25,Ma,Massachusetts,464,1.65,734,1.35"
"39,Oh,Ohio,435,1.54,720,1.33"
"34,Nj,New Jersey,346,1.23,628,1.16"
"45,Sc,South Carolina,339,1.2,816,1.5"
"22,La,Louisiana,331,1.18,701,1.29"
"32,Nv,Nevada,302,1.07,528,0.97"
"02,Ak,Alaska,297,1.05,586,1.08"
"29,Mo,Missouri,290,1.03,553,1.02"
"18,In,Indiana,269,0.96,481,0.89"
"40,Ok,Oklahoma,258,0.92,628,1.16"
"01,Al,Alabama,258,0.92,582,1.07"
"27,Mn,Minnesota,256,0.91,409,0.75"
"47,Tn,Tennessee,246,0.87,509,0.94"
"55,Wi,Wisconsin,240,0.85,389,0.72"
"21,Ky,Kentucky,234,0.83,525,0.97"
"09,Ct,Connecticut,219,0.78,384,0.71"
"20,Ks,Kansas,217,0.77,524,0.97"
"49,Ut,Utah,169,0.6,408,0.75"
"35,Nm,New Mexico,169,0.6,325,0.6"
"16,Id,Idaho,135,0.48,286,0.53"
"19,Ia,Iowa,132,0.47,226,0.42"
"31,Ne,Nebraska,124,0.44,263,0.48"
"23,Me,Maine,120,0.43,227,0.42"
"33,Nh,New Hampshire,116,0.41,179,0.33"
"05,Ar,Arkansas,113,0.4,217,0.4"
"28,Ms,Mississippi,105,0.37,212,0.39"
"30,Mt,Montana,96,0.34,151,0.28"
"44,Ri,Rhode Island,94,0.33,191,0.35"
"54,Wv,West Virginia,72,0.26,128,0.24"
"11,Dc,District of Columbia,68,0.24,153,0.28"
"50,Vt,Vermont,53,0.19,85,0.16"
"46,Sd,South Dakota,51,0.18,116,0.21"
"56,Wy,Wyoming,49,0.17,88,0.16"
"10,De,Delaware,44,0.16,83,0.15"
"38,Nd,North Dakota,44,0.16,92,0.17"
"15,,State Non-Migrant,420192,,886133,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
