"1991 - 1992 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,19-Iowa,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,29001,,59172,"
"17,Il,Illinois,3971,13.69,7778,13.14"
"31,Ne,Nebraska,2766,9.54,5680,9.6"
"06,Ca,California,2366,8.16,4940,8.35"
"27,Mn,Minnesota,1990,6.86,3807,6.43"
"29,Mo,Missouri,1717,5.92,3518,5.95"
"48,Tx,Texas,1584,5.46,3530,5.97"
"57,FR,Foreign,1576,5.43,2567,4.34"
"55,Wi,Wisconsin,1090,3.76,2217,3.75"
"12,Fl,Florida,980,3.38,1815,3.07"
"04,Az,Arizona,908,3.13,1767,2.99"
"08,Co,Colorado,885,3.05,1842,3.11"
"46,Sd,South Dakota,780,2.69,1623,2.74"
"20,Ks,Kansas,754,2.6,1664,2.81"
"26,Mi,Michigan,478,1.65,1011,1.71"
"18,In,Indiana,473,1.63,1103,1.86"
"39,Oh,Ohio,467,1.61,1093,1.85"
"53,Wa,Washington,426,1.47,881,1.49"
"36,Ny,New York,419,1.44,772,1.3"
"51,Va,Virginia,384,1.32,796,1.35"
"42,Pa,Pennsylvania,360,1.24,790,1.34"
"37,Nc,North Carolina,347,1.2,765,1.29"
"40,Ok,Oklahoma,328,1.13,730,1.23"
"13,Ga,Georgia,282,0.97,640,1.08"
"05,Ar,Arkansas,264,0.91,559,0.94"
"32,Nv,Nevada,239,0.82,480,0.81"
"47,Tn,Tennessee,228,0.79,511,0.86"
"24,Md,Maryland,216,0.74,448,0.76"
"38,Nd,North Dakota,210,0.72,489,0.83"
"25,Ma,Massachusetts,210,0.72,363,0.61"
"34,Nj,New Jersey,194,0.67,401,0.68"
"21,Ky,Kentucky,167,0.58,407,0.69"
"22,La,Louisiana,166,0.57,413,0.7"
"45,Sc,South Carolina,164,0.57,354,0.6"
"35,Nm,New Mexico,150,0.52,314,0.53"
"41,Or,Oregon,145,0.5,311,0.53"
"09,Ct,Connecticut,133,0.46,228,0.39"
"01,Al,Alabama,129,0.44,288,0.49"
"49,Ut,Utah,129,0.44,310,0.52"
"15,Hi,Hawaii,120,0.41,249,0.42"
"28,Ms,Mississippi,116,0.4,241,0.41"
"56,Wy,Wyoming,112,0.39,230,0.39"
"30,Mt,Montana,94,0.32,187,0.32"
"02,Ak,Alaska,92,0.32,206,0.35"
"16,Id,Idaho,87,0.3,215,0.36"
"23,Me,Maine,67,0.23,158,0.27"
"11,Dc,District of Columbia,62,0.21,84,0.14"
"33,Nh,New Hampshire,56,0.19,126,0.21"
"54,Wv,West Virginia,37,0.13,88,0.15"
"44,Ri,Rhode Island,36,0.12,77,0.13"
"50,Vt,Vermont,24,0.08,41,0.07"
"10,De,Delaware,23,0.08,65,0.11"
"19,,State Non-Migrant,1016296,,2323118,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
