"1991 - 1992 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,32-Nevada,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,44874,,86785,"
"06,Ca,California,16664,37.14,32564,37.52"
"04,Az,Arizona,2972,6.62,5878,6.77"
"48,Tx,Texas,1900,4.23,3854,4.44"
"12,Fl,Florida,1463,3.26,2612,3.01"
"57,FR,Foreign,1460,3.25,3060,3.53"
"08,Co,Colorado,1405,3.13,2651,3.05"
"49,Ut,Utah,1379,3.07,3137,3.61"
"36,Ny,New York,1369,3.05,2469,2.84"
"17,Il,Illinois,1366,3.04,2571,2.96"
"53,Wa,Washington,1125,2.51,2136,2.46"
"41,Or,Oregon,1083,2.41,2027,2.34"
"15,Hi,Hawaii,836,1.86,1727,1.99"
"26,Mi,Michigan,777,1.73,1314,1.51"
"35,Nm,New Mexico,730,1.63,1517,1.75"
"39,Oh,Ohio,678,1.51,1182,1.36"
"16,Id,Idaho,638,1.42,1357,1.56"
"34,Nj,New Jersey,631,1.41,1094,1.26"
"42,Pa,Pennsylvania,555,1.24,996,1.15"
"27,Mn,Minnesota,474,1.06,748,0.86"
"55,Wi,Wisconsin,465,1.04,775,0.89"
"29,Mo,Missouri,437,0.97,800,0.92"
"30,Mt,Montana,436,0.97,854,0.98"
"25,Ma,Massachusetts,404,0.9,682,0.79"
"40,Ok,Oklahoma,401,0.89,820,0.94"
"51,Va,Virginia,397,0.88,792,0.91"
"56,Wy,Wyoming,351,0.78,692,0.8"
"18,In,Indiana,339,0.76,599,0.69"
"22,La,Louisiana,310,0.69,657,0.76"
"13,Ga,Georgia,296,0.66,590,0.68"
"19,Ia,Iowa,294,0.66,537,0.62"
"37,Nc,North Carolina,276,0.62,563,0.65"
"20,Ks,Kansas,254,0.57,443,0.51"
"02,Ak,Alaska,246,0.55,489,0.56"
"09,Ct,Connecticut,243,0.54,399,0.46"
"31,Ne,Nebraska,236,0.53,431,0.5"
"24,Md,Maryland,231,0.51,412,0.47"
"47,Tn,Tennessee,230,0.51,416,0.48"
"05,Ar,Arkansas,207,0.46,423,0.49"
"45,Sc,South Carolina,178,0.4,371,0.43"
"38,Nd,North Dakota,159,0.35,317,0.37"
"46,Sd,South Dakota,149,0.33,306,0.35"
"28,Ms,Mississippi,141,0.31,281,0.32"
"01,Al,Alabama,140,0.31,271,0.31"
"21,Ky,Kentucky,136,0.3,259,0.3"
"23,Me,Maine,97,0.22,169,0.19"
"44,Ri,Rhode Island,82,0.18,139,0.16"
"33,Nh,New Hampshire,78,0.17,133,0.15"
"54,Wv,West Virginia,57,0.13,102,0.12"
"50,Vt,Vermont,47,0.1,80,0.09"
"11,Dc,District of Columbia,31,0.07,53,0.06"
"10,De,Delaware,21,0.05,36,0.04"
"32,,State Non-Migrant,461769,,978254,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
