"1991 - 1992 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,48-Texas,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,185320,,405660,"
"06,Ca,California,22650,12.22,51434,12.68"
"57,FR,Foreign,18944,10.22,42431,10.46"
"12,Fl,Florida,11862,6.4,26231,6.47"
"22,La,Louisiana,10857,5.86,23766,5.86"
"40,Ok,Oklahoma,10412,5.62,22510,5.55"
"17,Il,Illinois,6676,3.6,14619,3.6"
"35,Nm,New Mexico,5850,3.16,13784,3.4"
"08,Co,Colorado,5599,3.02,12346,3.04"
"36,Ny,New York,5257,2.84,10402,2.56"
"13,Ga,Georgia,5230,2.82,11911,2.94"
"51,Va,Virginia,5020,2.71,11403,2.81"
"05,Ar,Arkansas,4915,2.65,10450,2.58"
"04,Az,Arizona,4511,2.43,9880,2.44"
"29,Mo,Missouri,4278,2.31,8705,2.15"
"39,Oh,Ohio,3994,2.16,8141,2.01"
"37,Nc,North Carolina,3937,2.12,8826,2.18"
"26,Mi,Michigan,3899,2.1,7933,1.96"
"20,Ks,Kansas,3710,2,8210,2.02"
"47,Tn,Tennessee,3216,1.74,6821,1.68"
"42,Pa,Pennsylvania,3113,1.68,6370,1.57"
"53,Wa,Washington,2948,1.59,6700,1.65"
"01,Al,Alabama,2792,1.51,6408,1.58"
"18,In,Indiana,2752,1.48,5591,1.38"
"34,Nj,New Jersey,2638,1.42,5876,1.45"
"24,Md,Maryland,2592,1.4,5766,1.42"
"28,Ms,Mississippi,2571,1.39,5520,1.36"
"25,Ma,Massachusetts,2210,1.19,4050,1"
"27,Mn,Minnesota,1923,1.04,3897,0.96"
"45,Sc,South Carolina,1918,1.03,4389,1.08"
"32,Nv,Nevada,1691,0.91,3604,0.89"
"55,Wi,Wisconsin,1672,0.9,3220,0.79"
"21,Ky,Kentucky,1649,0.89,3610,0.89"
"19,Ia,Iowa,1600,0.86,3192,0.79"
"15,Hi,Hawaii,1444,0.78,3360,0.83"
"09,Ct,Connecticut,1439,0.78,2786,0.69"
"31,Ne,Nebraska,1334,0.72,3075,0.76"
"41,Or,Oregon,1126,0.61,2531,0.62"
"49,Ut,Utah,1024,0.55,2567,0.63"
"02,Ak,Alaska,914,0.49,2243,0.55"
"56,Wy,Wyoming,604,0.33,1495,0.37"
"16,Id,Idaho,565,0.3,1506,0.37"
"54,Wv,West Virginia,530,0.29,1096,0.27"
"23,Me,Maine,518,0.28,1102,0.27"
"33,Nh,New Hampshire,457,0.25,997,0.25"
"11,Dc,District of Columbia,438,0.24,718,0.18"
"46,Sd,South Dakota,412,0.22,831,0.2"
"30,Mt,Montana,396,0.21,812,0.2"
"38,Nd,North Dakota,394,0.21,824,0.2"
"10,De,Delaware,372,0.2,839,0.21"
"44,Ri,Rhode Island,307,0.17,586,0.14"
"50,Vt,Vermont,160,0.09,296,0.07"
"48,,State Non-Migrant,5676123,,13605592,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
