"1991 - 1992 State to State Migration Flows  --  INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"TO:,,50-Vermont,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF ,OF TOTAL,NUMBER OF,OF TOTAL"
"FROM: ,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,8253,,14282,"
"25,Ma,Massachusetts,1255,15.21,2055,14.39"
"36,Ny,New York,1240,15.02,2147,15.03"
"33,Nh,New Hampshire,1185,14.36,2128,14.9"
"09,Ct,Connecticut,664,8.05,1070,7.49"
"12,Fl,Florida,508,6.16,910,6.37"
"06,Ca,California,356,4.31,623,4.36"
"34,Nj,New Jersey,353,4.28,610,4.27"
"57,FR,Foreign,322,3.9,537,3.76"
"23,Me,Maine,263,3.19,423,2.96"
"42,Pa,Pennsylvania,240,2.91,384,2.69"
"51,Va,Virginia,198,2.4,365,2.56"
"37,Nc,North Carolina,122,1.48,229,1.6"
"44,Ri,Rhode Island,122,1.48,191,1.34"
"39,Oh,Ohio,110,1.33,204,1.43"
"08,Co,Colorado,107,1.3,171,1.2"
"24,Md,Maryland,104,1.26,194,1.36"
"48,Tx,Texas,93,1.13,195,1.37"
"17,Il,Illinois,80,0.97,153,1.07"
"53,Wa,Washington,74,0.9,117,0.82"
"04,Az,Arizona,68,0.82,130,0.91"
"26,Mi,Michigan,64,0.78,128,0.9"
"45,Sc,South Carolina,50,0.61,101,0.71"
"11,Dc,District of Columbia,48,0.58,64,0.45"
"41,Or,Oregon,44,0.53,78,0.55"
"13,Ga,Georgia,41,0.5,65,0.46"
"55,Wi,Wisconsin,39,0.47,64,0.45"
"21,Ky,Kentucky,37,0.45,75,0.53"
"27,Mn,Minnesota,35,0.42,61,0.43"
"15,Hi,Hawaii,32,0.39,59,0.41"
"18,In,Indiana,32,0.39,58,0.41"
"29,Mo,Missouri,29,0.35,55,0.39"
"02,Ak,Alaska,28,0.34,54,0.38"
"32,Nv,Nevada,28,0.34,60,0.42"
"49,Ut,Utah,26,0.32,61,0.43"
"22,La,Louisiana,24,0.29,45,0.32"
"47,Tn,Tennessee,24,0.29,47,0.33"
"19,Ia,Iowa,20,0.24,39,0.27"
"20,Ks,Kansas,20,0.24,43,0.3"
"40,Ok,Oklahoma,19,0.23,29,0.2"
"54,Wv,West Virginia,18,0.22,32,0.22"
"35,Nm,New Mexico,17,0.21,27,0.19"
"01,Al,Alabama,15,0.18,30,0.21"
"10,De,Delaware,14,0.17,21,0.15"
"28,Ms,Mississippi,14,0.17,23,0.16"
"05,Ar,Arkansas,14,0.17,22,0.15"
"30,Mt,Montana,13,0.16,28,0.2"
"31,Ne,Nebraska,12,0.15,22,0.15"
"56,Wy,Wyoming,12,0.15,17,0.12"
"16,Id,Idaho,11,0.13,18,0.13"
"38,Nd,North Dakota,6,0.07,9,0.06"
"46,Sd,South Dakota,3,0.04,11,0.08"
"50,,State Non-Migrant,210029,,458042,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
