"1991 - 1992 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,18-Indiana,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,54139,,105433,"
"17,Il,Illinois,6721,12.41,12371,11.73"
"12,Fl,Florida,5628,10.4,10427,9.89"
"39,Oh,Ohio,4832,8.93,9697,9.2"
"21,Ky,Kentucky,4355,8.04,8616,8.17"
"26,Mi,Michigan,3778,6.98,7583,7.19"
"06,Ca,California,2852,5.27,4802,4.55"
"48,Tx,Texas,2752,5.08,5591,5.3"
"47,Tn,Tennessee,1867,3.45,3956,3.75"
"57,FR,Foreign,1857,3.43,3369,3.2"
"13,Ga,Georgia,1404,2.59,2821,2.68"
"37,Nc,North Carolina,1359,2.51,2708,2.57"
"51,Va,Virginia,1232,2.28,2418,2.29"
"29,Mo,Missouri,1147,2.12,2411,2.29"
"04,Az,Arizona,1123,2.07,2088,1.98"
"55,Wi,Wisconsin,986,1.82,2164,2.05"
"42,Pa,Pennsylvania,981,1.81,2092,1.98"
"08,Co,Colorado,945,1.75,1817,1.72"
"36,Ny,New York,839,1.55,1514,1.44"
"27,Mn,Minnesota,635,1.17,1339,1.27"
"53,Wa,Washington,634,1.17,1109,1.05"
"45,Sc,South Carolina,629,1.16,1230,1.17"
"01,Al,Alabama,581,1.07,1226,1.16"
"40,Ok,Oklahoma,541,1,1107,1.05"
"20,Ks,Kansas,504,0.93,1049,0.99"
"05,Ar,Arkansas,494,0.91,1132,1.07"
"19,Ia,Iowa,473,0.87,1103,1.05"
"24,Md,Maryland,463,0.86,900,0.85"
"22,La,Louisiana,438,0.81,893,0.85"
"34,Nj,New Jersey,360,0.66,674,0.64"
"28,Ms,Mississippi,347,0.64,734,0.7"
"32,Nv,Nevada,339,0.63,599,0.57"
"25,Ma,Massachusetts,296,0.55,486,0.46"
"41,Or,Oregon,285,0.53,555,0.53"
"15,Hi,Hawaii,269,0.5,481,0.46"
"35,Nm,New Mexico,252,0.47,514,0.49"
"54,Wv,West Virginia,250,0.46,558,0.53"
"09,Ct,Connecticut,234,0.43,411,0.39"
"31,Ne,Nebraska,193,0.36,411,0.39"
"49,Ut,Utah,162,0.3,366,0.35"
"02,Ak,Alaska,161,0.3,307,0.29"
"11,Dc,District of Columbia,117,0.22,140,0.13"
"16,Id,Idaho,112,0.21,246,0.23"
"30,Mt,Montana,109,0.2,218,0.21"
"56,Wy,Wyoming,108,0.2,207,0.2"
"46,Sd,South Dakota,90,0.17,188,0.18"
"38,Nd,North Dakota,86,0.16,164,0.16"
"33,Nh,New Hampshire,85,0.16,181,0.17"
"23,Me,Maine,73,0.13,146,0.14"
"10,De,Delaware,73,0.13,159,0.15"
"44,Ri,Rhode Island,56,0.1,97,0.09"
"50,Vt,Vermont,32,0.06,58,0.06"
"18,,State Non-Migrant,2033957,,4646834,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
