"1991 - 1992 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,19-Iowa,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,30297,,57047,"
"17,Il,Illinois,3907,12.9,7125,12.49"
"31,Ne,Nebraska,2939,9.7,5562,9.75"
"27,Mn,Minnesota,2511,8.29,4600,8.06"
"29,Mo,Missouri,2026,6.69,4030,7.06"
"06,Ca,California,1803,5.95,3111,5.45"
"48,Tx,Texas,1600,5.28,3192,5.6"
"55,Wi,Wisconsin,1351,4.46,2786,4.88"
"08,Co,Colorado,1249,4.12,2242,3.93"
"12,Fl,Florida,1064,3.51,1821,3.19"
"46,Sd,South Dakota,993,3.28,1922,3.37"
"04,Az,Arizona,966,3.19,1651,2.89"
"20,Ks,Kansas,871,2.87,1702,2.98"
"57,FR,Foreign,774,2.55,1280,2.24"
"18,In,Indiana,540,1.78,1155,2.02"
"53,Wa,Washington,507,1.67,920,1.61"
"26,Mi,Michigan,495,1.63,1020,1.79"
"37,Nc,North Carolina,455,1.5,836,1.47"
"39,Oh,Ohio,445,1.47,894,1.57"
"51,Va,Virginia,435,1.44,804,1.41"
"05,Ar,Arkansas,406,1.34,834,1.46"
"40,Ok,Oklahoma,394,1.3,853,1.5"
"13,Ga,Georgia,362,1.19,763,1.34"
"36,Ny,New York,345,1.14,595,1.04"
"47,Tn,Tennessee,334,1.1,701,1.23"
"32,Nv,Nevada,294,0.97,537,0.94"
"42,Pa,Pennsylvania,288,0.95,574,1.01"
"41,Or,Oregon,240,0.79,439,0.77"
"21,Ky,Kentucky,204,0.67,442,0.77"
"24,Md,Maryland,191,0.63,317,0.56"
"45,Sc,South Carolina,182,0.6,386,0.68"
"35,Nm,New Mexico,177,0.58,327,0.57"
"22,La,Louisiana,174,0.57,344,0.6"
"25,Ma,Massachusetts,159,0.52,242,0.42"
"01,Al,Alabama,156,0.51,300,0.53"
"38,Nd,North Dakota,151,0.5,296,0.52"
"34,Nj,New Jersey,147,0.49,249,0.44"
"30,Mt,Montana,140,0.46,289,0.51"
"49,Ut,Utah,138,0.46,273,0.48"
"15,Hi,Hawaii,132,0.44,226,0.4"
"56,Wy,Wyoming,129,0.43,284,0.5"
"16,Id,Idaho,102,0.34,212,0.37"
"09,Ct,Connecticut,92,0.3,157,0.28"
"28,Ms,Mississippi,89,0.29,187,0.33"
"02,Ak,Alaska,88,0.29,152,0.27"
"11,Dc,District of Columbia,62,0.2,75,0.13"
"23,Me,Maine,41,0.14,64,0.11"
"33,Nh,New Hampshire,38,0.13,69,0.12"
"54,Wv,West Virginia,33,0.11,62,0.11"
"44,Ri,Rhode Island,31,0.1,48,0.08"
"10,De,Delaware,27,0.09,58,0.1"
"50,Vt,Vermont,20,0.07,39,0.07"
"19,,State Non-Migrant,1016296,,2323118,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
