"1991 - 1992 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,28-Mississippi,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,28242,,60091,"
"47,Tn,Tennessee,3725,13.19,7560,12.58"
"22,La,Louisiana,3241,11.48,7221,12.02"
"01,Al,Alabama,2582,9.14,5708,9.5"
"48,Tx,Texas,2571,9.1,5520,9.19"
"12,Fl,Florida,2008,7.11,4126,6.87"
"13,Ga,Georgia,1609,5.7,3456,5.75"
"57,FR,Foreign,1398,4.95,2631,4.38"
"06,Ca,California,1195,4.23,2393,3.98"
"05,Ar,Arkansas,991,3.51,2309,3.84"
"17,Il,Illinois,854,3.02,1771,2.95"
"51,Va,Virginia,745,2.64,1661,2.76"
"37,Nc,North Carolina,702,2.49,1504,2.5"
"29,Mo,Missouri,469,1.66,1089,1.81"
"45,Sc,South Carolina,414,1.47,914,1.52"
"40,Ok,Oklahoma,372,1.32,845,1.41"
"39,Oh,Ohio,364,1.29,783,1.3"
"21,Ky,Kentucky,339,1.2,778,1.29"
"18,In,Indiana,338,1.2,785,1.31"
"36,Ny,New York,319,1.13,656,1.09"
"08,Co,Colorado,315,1.12,685,1.14"
"26,Mi,Michigan,312,1.1,664,1.1"
"55,Wi,Wisconsin,307,1.09,688,1.14"
"53,Wa,Washington,289,1.02,596,0.99"
"42,Pa,Pennsylvania,251,0.89,518,0.86"
"24,Md,Maryland,232,0.82,470,0.78"
"04,Az,Arizona,218,0.77,425,0.71"
"20,Ks,Kansas,216,0.76,451,0.75"
"27,Mn,Minnesota,174,0.62,389,0.65"
"02,Ak,Alaska,147,0.52,307,0.51"
"31,Ne,Nebraska,143,0.51,306,0.51"
"32,Nv,Nevada,141,0.5,281,0.47"
"35,Nm,New Mexico,134,0.47,270,0.45"
"19,Ia,Iowa,116,0.41,241,0.4"
"34,Nj,New Jersey,116,0.41,236,0.39"
"15,Hi,Hawaii,105,0.37,212,0.35"
"41,Or,Oregon,90,0.32,176,0.29"
"25,Ma,Massachusetts,81,0.29,137,0.23"
"49,Ut,Utah,74,0.26,169,0.28"
"10,De,Delaware,58,0.21,126,0.21"
"54,Wv,West Virginia,58,0.21,125,0.21"
"09,Ct,Connecticut,54,0.19,97,0.16"
"23,Me,Maine,49,0.17,115,0.19"
"30,Mt,Montana,49,0.17,100,0.17"
"38,Nd,North Dakota,47,0.17,107,0.18"
"56,Wy,Wyoming,46,0.16,110,0.18"
"46,Sd,South Dakota,45,0.16,102,0.17"
"11,Dc,District of Columbia,41,0.15,72,0.12"
"16,Id,Idaho,34,0.12,84,0.14"
"44,Ri,Rhode Island,27,0.1,67,0.11"
"33,Nh,New Hampshire,23,0.08,32,0.05"
"50,Vt,Vermont,14,0.05,23,0.04"
"28,,State Non-Migrant,811785,,1971591,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
