"1991 - 1992 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,30-Montana,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,12505,,24217,"
"53,Wa,Washington,2146,17.16,3922,16.2"
"06,Ca,California,1076,8.6,1815,7.49"
"16,Id,Idaho,804,6.43,1641,6.78"
"08,Co,Colorado,695,5.56,1351,5.58"
"41,Or,Oregon,663,5.3,1277,5.27"
"56,Wy,Wyoming,659,5.27,1356,5.6"
"04,Az,Arizona,528,4.22,981,4.05"
"57,FR,Foreign,476,3.81,863,3.56"
"32,Nv,Nevada,436,3.49,854,3.53"
"38,Nd,North Dakota,410,3.28,879,3.63"
"48,Tx,Texas,396,3.17,812,3.35"
"02,Ak,Alaska,378,3.02,782,3.23"
"27,Mn,Minnesota,347,2.77,673,2.78"
"49,Ut,Utah,333,2.66,714,2.95"
"46,Sd,South Dakota,238,1.9,518,2.14"
"12,Fl,Florida,237,1.9,420,1.73"
"17,Il,Illinois,158,1.26,287,1.19"
"35,Nm,New Mexico,145,1.16,284,1.17"
"51,Va,Virginia,144,1.15,275,1.14"
"55,Wi,Wisconsin,139,1.11,314,1.3"
"29,Mo,Missouri,131,1.05,303,1.25"
"37,Nc,North Carolina,119,0.95,244,1.01"
"20,Ks,Kansas,119,0.95,254,1.05"
"39,Oh,Ohio,118,0.94,234,0.97"
"36,Ny,New York,118,0.94,198,0.82"
"40,Ok,Oklahoma,111,0.89,208,0.86"
"31,Ne,Nebraska,108,0.86,257,1.06"
"42,Pa,Pennsylvania,108,0.86,214,0.88"
"26,Mi,Michigan,102,0.82,209,0.86"
"15,Hi,Hawaii,96,0.77,151,0.62"
"19,Ia,Iowa,94,0.75,187,0.77"
"13,Ga,Georgia,92,0.74,193,0.8"
"18,In,Indiana,77,0.62,153,0.63"
"47,Tn,Tennessee,76,0.61,153,0.63"
"24,Md,Maryland,70,0.56,142,0.59"
"05,Ar,Arkansas,60,0.48,139,0.57"
"34,Nj,New Jersey,55,0.44,80,0.33"
"21,Ky,Kentucky,51,0.41,112,0.46"
"01,Al,Alabama,51,0.41,108,0.45"
"22,La,Louisiana,50,0.4,123,0.51"
"45,Sc,South Carolina,45,0.36,80,0.33"
"25,Ma,Massachusetts,43,0.34,69,0.28"
"09,Ct,Connecticut,37,0.3,65,0.27"
"28,Ms,Mississippi,36,0.29,81,0.33"
"23,Me,Maine,30,0.24,67,0.28"
"11,Dc,District of Columbia,25,0.2,30,0.12"
"54,Wv,West Virginia,23,0.18,48,0.2"
"33,Nh,New Hampshire,21,0.17,37,0.15"
"50,Vt,Vermont,13,0.1,28,0.12"
"10,De,Delaware,10,0.08,20,0.08"
"44,Ri,Rhode Island,8,0.06,12,0.05"
"30,,State Non-Migrant,275217,,629645,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
