"1991 - 1992 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,35-New Mexico,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,27711,,61497,"
"48,Tx,Texas,5850,21.11,13784,22.41"
"04,Az,Arizona,3880,14,10091,16.41"
"06,Ca,California,2758,9.95,5211,8.47"
"08,Co,Colorado,2425,8.75,5064,8.23"
"57,FR,Foreign,1434,5.17,3208,5.22"
"12,Fl,Florida,877,3.16,1841,2.99"
"32,Nv,Nevada,730,2.63,1517,2.47"
"40,Ok,Oklahoma,719,2.59,1616,2.63"
"53,Wa,Washington,706,2.55,1359,2.21"
"49,Ut,Utah,499,1.8,1318,2.14"
"17,Il,Illinois,456,1.65,904,1.47"
"51,Va,Virginia,424,1.53,942,1.53"
"20,Ks,Kansas,393,1.42,919,1.49"
"29,Mo,Missouri,351,1.27,774,1.26"
"36,Ny,New York,340,1.23,598,0.97"
"41,Or,Oregon,329,1.19,647,1.05"
"39,Oh,Ohio,315,1.14,700,1.14"
"37,Nc,North Carolina,284,1.02,594,0.97"
"42,Pa,Pennsylvania,279,1.01,591,0.96"
"13,Ga,Georgia,262,0.95,556,0.9"
"26,Mi,Michigan,262,0.95,513,0.83"
"02,Ak,Alaska,259,0.93,626,1.02"
"22,La,Louisiana,245,0.88,520,0.85"
"47,Tn,Tennessee,236,0.85,480,0.78"
"05,Ar,Arkansas,233,0.84,510,0.83"
"18,In,Indiana,220,0.79,452,0.73"
"24,Md,Maryland,214,0.77,441,0.72"
"27,Mn,Minnesota,207,0.75,435,0.71"
"56,Wy,Wyoming,199,0.72,421,0.68"
"16,Id,Idaho,199,0.72,463,0.75"
"30,Mt,Montana,191,0.69,439,0.71"
"55,Wi,Wisconsin,174,0.63,320,0.52"
"15,Hi,Hawaii,169,0.61,325,0.53"
"01,Al,Alabama,169,0.61,432,0.7"
"19,Ia,Iowa,150,0.54,314,0.51"
"31,Ne,Nebraska,149,0.54,341,0.55"
"45,Sc,South Carolina,143,0.52,310,0.5"
"21,Ky,Kentucky,139,0.5,289,0.47"
"34,Nj,New Jersey,135,0.49,257,0.42"
"25,Ma,Massachusetts,130,0.47,229,0.37"
"28,Ms,Mississippi,114,0.41,258,0.42"
"46,Sd,South Dakota,102,0.37,220,0.36"
"09,Ct,Connecticut,61,0.22,97,0.16"
"54,Wv,West Virginia,52,0.19,116,0.19"
"38,Nd,North Dakota,49,0.18,109,0.18"
"23,Me,Maine,47,0.17,92,0.15"
"11,Dc,District of Columbia,47,0.17,58,0.09"
"33,Nh,New Hampshire,46,0.17,85,0.14"
"10,De,Delaware,21,0.08,41,0.07"
"44,Ri,Rhode Island,21,0.08,43,0.07"
"50,Vt,Vermont,17,0.06,27,0.04"
"35,,State Non-Migrant,511021,,1206246,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
