"1991 - 1992 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,41-Oregon,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,36917,,71599,"
"53,Wa,Washington,10293,27.88,19876,27.76"
"06,Ca,California,7965,21.58,14855,20.75"
"16,Id,Idaho,1916,5.19,4199,5.86"
"04,Az,Arizona,1493,4.04,2939,4.1"
"57,FR,Foreign,1193,3.23,1905,2.66"
"48,Tx,Texas,1126,3.05,2531,3.53"
"32,Nv,Nevada,1083,2.93,2027,2.83"
"02,Ak,Alaska,1051,2.85,2007,2.8"
"08,Co,Colorado,989,2.68,1930,2.7"
"12,Fl,Florida,717,1.94,1330,1.86"
"30,Mt,Montana,687,1.86,1495,2.09"
"49,Ut,Utah,646,1.75,1460,2.04"
"15,Hi,Hawaii,511,1.38,825,1.15"
"17,Il,Illinois,442,1.2,842,1.18"
"36,Ny,New York,406,1.1,692,0.97"
"51,Va,Virginia,368,1,666,0.93"
"27,Mn,Minnesota,343,0.93,659,0.92"
"35,Nm,New Mexico,335,0.91,638,0.89"
"29,Mo,Missouri,299,0.81,615,0.86"
"42,Pa,Pennsylvania,270,0.73,515,0.72"
"39,Oh,Ohio,269,0.73,535,0.75"
"37,Nc,North Carolina,265,0.72,495,0.69"
"13,Ga,Georgia,263,0.71,525,0.73"
"26,Mi,Michigan,254,0.69,501,0.7"
"40,Ok,Oklahoma,254,0.69,539,0.75"
"05,Ar,Arkansas,253,0.69,617,0.86"
"20,Ks,Kansas,235,0.64,514,0.72"
"55,Wi,Wisconsin,227,0.61,468,0.65"
"56,Wy,Wyoming,215,0.58,459,0.64"
"25,Ma,Massachusetts,204,0.55,311,0.43"
"31,Ne,Nebraska,190,0.51,398,0.56"
"24,Md,Maryland,183,0.5,348,0.49"
"18,In,Indiana,182,0.49,378,0.53"
"34,Nj,New Jersey,182,0.49,304,0.42"
"47,Tn,Tennessee,177,0.48,360,0.5"
"22,La,Louisiana,157,0.43,341,0.48"
"19,Ia,Iowa,145,0.39,311,0.43"
"21,Ky,Kentucky,130,0.35,268,0.37"
"01,Al,Alabama,128,0.35,283,0.4"
"46,Sd,South Dakota,126,0.34,252,0.35"
"09,Ct,Connecticut,116,0.31,181,0.25"
"38,Nd,North Dakota,112,0.3,203,0.28"
"11,Dc,District of Columbia,90,0.24,126,0.18"
"45,Sc,South Carolina,88,0.24,183,0.26"
"28,Ms,Mississippi,82,0.22,179,0.25"
"33,Nh,New Hampshire,61,0.17,120,0.17"
"23,Me,Maine,52,0.14,113,0.16"
"50,Vt,Vermont,44,0.12,78,0.11"
"54,Wv,West Virginia,39,0.11,84,0.12"
"10,De,Delaware,34,0.09,69,0.1"
"44,Ri,Rhode Island,27,0.07,50,0.07"
"41,,State Non-Migrant,1003791,,2226235,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
