"1991 - 1992 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,55-Wisconsin,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,38578,,69547,"
"17,Il,Illinois,5898,15.29,10157,14.6"
"27,Mn,Minnesota,5374,13.93,9061,13.03"
"12,Fl,Florida,2598,6.73,4578,6.58"
"06,Ca,California,2559,6.63,4074,5.86"
"26,Mi,Michigan,1800,4.67,3494,5.02"
"48,Tx,Texas,1672,4.33,3220,4.63"
"04,Az,Arizona,1326,3.44,2260,3.25"
"57,FR,Foreign,1232,3.19,2006,2.88"
"08,Co,Colorado,1121,2.91,1861,2.68"
"19,Ia,Iowa,1090,2.83,2217,3.19"
"18,In,Indiana,945,2.45,1986,2.86"
"39,Oh,Ohio,874,2.27,1846,2.65"
"53,Wa,Washington,813,2.11,1468,2.11"
"37,Nc,North Carolina,778,2.02,1499,2.16"
"13,Ga,Georgia,713,1.85,1408,2.02"
"51,Va,Virginia,707,1.83,1308,1.88"
"29,Mo,Missouri,683,1.77,1443,2.07"
"36,Ny,New York,658,1.71,1050,1.51"
"47,Tn,Tennessee,560,1.45,1169,1.68"
"42,Pa,Pennsylvania,482,1.25,943,1.36"
"32,Nv,Nevada,465,1.21,775,1.11"
"21,Ky,Kentucky,357,0.93,724,1.04"
"20,Ks,Kansas,353,0.92,746,1.07"
"05,Ar,Arkansas,347,0.9,732,1.05"
"24,Md,Maryland,341,0.88,569,0.82"
"41,Or,Oregon,322,0.83,553,0.8"
"45,Sc,South Carolina,294,0.76,644,0.93"
"28,Ms,Mississippi,291,0.75,688,0.99"
"25,Ma,Massachusetts,282,0.73,428,0.62"
"40,Ok,Oklahoma,281,0.73,530,0.76"
"34,Nj,New Jersey,246,0.64,438,0.63"
"35,Nm,New Mexico,246,0.64,432,0.62"
"01,Al,Alabama,240,0.62,531,0.76"
"15,Hi,Hawaii,240,0.62,389,0.56"
"31,Ne,Nebraska,237,0.61,483,0.69"
"30,Mt,Montana,216,0.56,414,0.6"
"22,La,Louisiana,216,0.56,367,0.53"
"02,Ak,Alaska,213,0.55,348,0.5"
"46,Sd,South Dakota,212,0.55,393,0.57"
"38,Nd,North Dakota,195,0.51,371,0.53"
"09,Ct,Connecticut,172,0.45,294,0.42"
"49,Ut,Utah,159,0.41,327,0.47"
"16,Id,Idaho,150,0.39,298,0.43"
"56,Wy,Wyoming,134,0.35,214,0.31"
"11,Dc,District of Columbia,133,0.34,150,0.22"
"54,Wv,West Virginia,76,0.2,142,0.2"
"33,Nh,New Hampshire,74,0.19,140,0.2"
"23,Me,Maine,71,0.18,132,0.19"
"10,De,Delaware,51,0.13,102,0.15"
"44,Ri,Rhode Island,42,0.11,81,0.12"
"50,Vt,Vermont,39,0.1,64,0.09"
"55,,State Non-Migrant,1841808,,4118118,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
