"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,08-Colorado,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Colorado,87565,173346,2542047"
"06,Ca,California,15818,32698,530787"
"48,Tx,Texas,6885,15162,226823"
"57,FR,Foreign,5455,11555,122404"
"04,Az,Arizona,3690,7407,96737"
"12,Fl,Florida,3472,6506,86571"
"17,Il,Illinois,3112,5734,100584"
"36,NY,New York,2759,4541,87206"
"35,NM,New Mexico,2456,5271,58029"
"20,Ks,Kansas,2184,4665,60060"
"51,Va,Virginia,2157,4442,85697"
"53,Wa,Washington,2048,4081,67655"
"26,Mi,Michigan,1884,3393,48108"
"31,Ne,Nebraska,1830,3593,43356"
"39,Oh,Ohio,1762,3213,57545"
"56,Wy,Wyoming,1670,3304,40305"
"42,Pa,Pennsylvania,1645,2773,48090"
"40,Ok,Oklahoma,1617,3636,42035"
"29,Mo,Missouri,1586,3015,42923"
"27,Mn,Minnesota,1530,2544,41042"
"32,Nv,Nevada,1444,2919,36132"
"25,Ma,Massachusetts,1396,2162,38345"
"34,NJ,New Jersey,1307,2250,45870"
"49,Ut,Utah,1297,3076,34990"
"13,Ga,Georgia,1263,2555,39441"
"19,Ia,Iowa,1220,2097,32543"
"55,Wi,Wisconsin,1206,1973,26381"
"24,Md,Maryland,1160,2235,41995"
"37,NC,North Carolina,1127,2205,28146"
"41,Or,Oregon,1056,2038,25720"
"18,In,Indiana,1047,1921,29489"
"09,Ct,Connecticut,883,1397,27698"
"15,Hi,Hawaii,845,1875,24174"
"22,La,Louisiana,830,1821,23844"
"47,Tn,Tennessee,705,1376,22678"
"30,Mt,Montana,701,1307,15591"
"46,SD,South Dakota,651,1238,14706"
"02,Ak,Alaska,644,1403,20125"
"01,Al,Alabama,593,1279,16222"
"45,SC,South Carolina,542,1140,14082"
"16,Id,Idaho,516,1069,14028"
"21,Ky,Kentucky,512,1124,13583"
"38,ND,North Dakota,499,904,10725"
"05,Ar,Arkansas,490,961,10628"
"33,NH,New Hampshire,480,779,12534"
"28,Ms,Mississippi,346,694,7059"
"50,Vt,Vermont,317,468,6642"
"23,Me,Maine,303,514,5884"
"11,DC,District of Columbia,197,280,6844"
"54,WV,West Virginia,166,304,3083"
"44,RI,Rhode Island,146,237,3397"
"10,De,Delaware,116,212,3511"
"08,Co S,tate Non-Migrant,1229354,2695662,43498471"
