"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,13-Georgia,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Georgia,113040,236910,3412551"
"12,Fl,Florida,18119,36444,482748"
"57,FR,Foreign,8211,18762,204980"
"06,Ca,California,6895,14949,248978"
"01,Al,Alabama,6485,13510,165128"
"45,SC,South Carolina,6221,12639,155610"
"48,Tx,Texas,6131,14008,204896"
"37,NC,North Carolina,5910,12153,167736"
"47,Tn,Tennessee,5747,11802,163435"
"36,NY,New York,5215,10336,173401"
"51,Va,Virginia,4074,8639,135883"
"39,Oh,Ohio,3313,6435,104026"
"17,Il,Illinois,3236,6838,128704"
"34,NJ,New Jersey,2610,5372,116646"
"26,Mi,Michigan,2478,4745,67580"
"42,Pa,Pennsylvania,2413,4817,88824"
"22,La,Louisiana,2271,5106,58636"
"24,Md,Maryland,2034,4287,75652"
"21,Ky,Kentucky,1622,3487,46504"
"25,Ma,Massachusetts,1562,2837,55205"
"28,Ms,Mississippi,1559,3266,34806"
"09,Ct,Connecticut,1556,3214,70015"
"18,In,Indiana,1463,2928,38161"
"29,Mo,Missouri,1427,3007,50975"
"08,Co,Colorado,1204,2585,37200"
"40,Ok,Oklahoma,979,2213,26357"
"53,Wa,Washington,935,2124,29216"
"04,Az,Arizona,915,2019,27322"
"20,Ks,Kansas,810,2004,30896"
"55,Wi,Wisconsin,775,1533,24351"
"15,Hi,Hawaii,741,1961,19971"
"05,Ar,Arkansas,740,1723,20171"
"27,Mn,Minnesota,558,1086,24806"
"54,WV,West Virginia,468,893,11116"
"02,Ak,Alaska,434,1191,13018"
"19,Ia,Iowa,381,754,10190"
"35,NM,New Mexico,356,790,10059"
"32,Nv,Nevada,308,611,6798"
"33,NH,New Hampshire,306,566,10258"
"41,Or,Oregon,299,576,8260"
"11,DC,District of Columbia,291,448,8954"
"49,Ut,Utah,283,703,9023"
"31,Ne,Nebraska,281,618,8570"
"23,Me,Maine,267,525,6749"
"10,De,Delaware,263,542,9445"
"44,RI,Rhode Island,245,506,6488"
"16,Id,Idaho,128,284,2781"
"30,Mt,Montana,111,210,2434"
"50,Vt,Vermont,110,194,2577"
"38,ND,North Dakota,108,260,2600"
"46,SD,South Dakota,100,219,2355"
"56,Wy,Wyoming,92,191,2057"
"13,Ga S,tate Non-Migrant,2240996,5141907,75593083"
