"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,15-Hawaii,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Hawaii,28032,54928,685572"
"06,Ca,California,7146,13351,192567"
"57,FR,Foreign,3654,6536,74348"
"48,Tx,Texas,1611,3499,38425"
"53,Wa,Washington,1229,2443,30439"
"12,Fl,Florida,1018,1908,27150"
"51,Va,Virginia,941,2359,28410"
"36,NY,New York,809,1391,18325"
"37,NC,North Carolina,800,1950,17212"
"13,Ga,Georgia,694,1746,16028"
"17,Il,Illinois,558,1003,13233"
"04,Az,Arizona,539,1071,12890"
"08,Co,Colorado,533,1067,12647"
"41,Or,Oregon,495,788,10485"
"26,Mi,Michigan,440,672,9366"
"42,Pa,Pennsylvania,436,738,10049"
"24,Md,Maryland,429,982,13326"
"25,Ma,Massachusetts,427,709,10628"
"39,Oh,Ohio,397,658,7578"
"45,SC,South Carolina,396,944,9451"
"34,NJ,New Jersey,360,710,11521"
"32,Nv,Nevada,330,576,7591"
"29,Mo,Missouri,329,721,8661"
"01,Al,Alabama,307,702,7054"
"40,Ok,Oklahoma,286,693,6451"
"21,Ky,Kentucky,285,756,5878"
"22,La,Louisiana,280,610,6000"
"47,Tn,Tennessee,277,600,6365"
"02,Ak,Alaska,269,575,7738"
"18,In,Indiana,263,445,5810"
"20,Ks,Kansas,257,647,6264"
"27,Mn,Minnesota,248,401,6127"
"55,Wi,Wisconsin,233,352,4976"
"09,Ct,Connecticut,195,330,5610"
"49,Ut,Utah,178,372,4642"
"35,NM,New Mexico,174,371,4818"
"16,Id,Idaho,135,244,3413"
"28,Ms,Mississippi,119,263,2355"
"31,Ne,Nebraska,115,257,3211"
"19,Ia,Iowa,102,181,1863"
"05,Ar,Arkansas,101,194,1995"
"23,Me,Maine,93,172,1840"
"33,NH,New Hampshire,77,120,1440"
"44,RI,Rhode Island,77,162,2342"
"30,Mt,Montana,69,114,1388"
"46,SD,South Dakota,54,80,1035"
"11,DC,District of Columbia,53,90,1379"
"10,De,Delaware,50,91,1414"
"54,WV,West Virginia,49,97,1179"
"38,ND,North Dakota,39,70,936"
"50,Vt,Vermont,39,54,820"
"56,Wy,Wyoming,37,63,899"
"15,Hi S,tate Non-Migrant,423538,892122,15208111"
