"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,18-Indiana,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Indiana,57160,120224,1676012"
"17,Il,Illinois,8842,18848,290066"
"39,Oh,Ohio,5573,11550,172077"
"26,Mi,Michigan,4594,9328,140751"
"21,Ky,Kentucky,4300,8962,110574"
"12,Fl,Florida,4171,8210,95212"
"06,Ca,California,3578,7485,107146"
"57,FR,Foreign,3163,5446,58804"
"48,Tx,Texas,2558,5744,76787"
"47,Tn,Tennessee,1312,2888,37293"
"29,Mo,Missouri,1296,2954,42434"
"51,Va,Virginia,1233,2767,37266"
"42,Pa,Pennsylvania,1229,2796,58076"
"37,NC,North Carolina,1157,2556,29413"
"13,Ga,Georgia,1092,2393,30306"
"36,NY,New York,1089,2152,35775"
"55,Wi,Wisconsin,965,2098,31179"
"04,Az,Arizona,906,1914,22836"
"08,Co,Colorado,750,1590,18206"
"45,SC,South Carolina,554,1206,14120"
"24,Md,Maryland,552,1213,19192"
"34,NJ,New Jersey,539,1143,23609"
"40,Ok,Oklahoma,528,1271,12982"
"53,Wa,Washington,527,1129,12877"
"27,Mn,Minnesota,523,1087,17771"
"19,Ia,Iowa,516,1161,16041"
"01,Al,Alabama,499,1101,12354"
"20,Ks,Kansas,492,1208,15632"
"22,La,Louisiana,424,986,11841"
"25,Ma,Massachusetts,417,800,14229"
"05,Ar,Arkansas,392,873,8588"
"09,Ct,Connecticut,323,661,21014"
"28,Ms,Mississippi,316,730,5924"
"32,Nv,Nevada,285,571,6675"
"31,Ne,Nebraska,257,561,7732"
"15,Hi,Hawaii,254,573,6146"
"54,WV,West Virginia,232,488,6410"
"35,NM,New Mexico,227,488,5421"
"41,Or,Oregon,192,388,5515"
"49,Ut,Utah,153,412,4338"
"02,Ak,Alaska,143,343,3711"
"23,Me,Maine,123,260,3639"
"38,ND,North Dakota,119,253,3273"
"33,NH,New Hampshire,105,246,3789"
"46,SD,South Dakota,98,206,2284"
"56,Wy,Wyoming,96,244,3725"
"30,Mt,Montana,91,202,1863"
"11,DC,District of Columbia,86,122,2610"
"44,RI,Rhode Island,83,168,2565"
"10,De,Delaware,80,182,2926"
"16,Id,Idaho,80,176,1707"
"50,Vt,Vermont,46,91,1308"
"18,In S,tate Non-Migrant,2031730,4650142,69271165"
