"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,22-Louisiana,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Louisiana,40963,87613,1044981"
"48,Tx,Texas,8318,18542,242019"
"57,FR,Foreign,4064,8261,77037"
"06,Ca,California,3346,7122,91145"
"28,Ms,Mississippi,2937,6387,68253"
"12,Fl,Florida,2726,5618,67731"
"13,Ga,Georgia,1721,3683,37909"
"05,Ar,Arkansas,1367,3153,33221"
"01,Al,Alabama,1259,2752,34748"
"37,NC,North Carolina,1081,2457,25266"
"51,Va,Virginia,1057,2327,27817"
"47,Tn,Tennessee,964,2080,25144"
"17,Il,Illinois,862,1653,21444"
"36,NY,New York,794,1527,20449"
"40,Ok,Oklahoma,731,1735,22418"
"45,SC,South Carolina,648,1509,15215"
"29,Mo,Missouri,591,1272,14221"
"39,Oh,Ohio,590,1147,16737"
"08,Co,Colorado,578,1166,14328"
"26,Mi,Michigan,564,1201,13724"
"53,Wa,Washington,529,1173,11141"
"42,Pa,Pennsylvania,508,964,15488"
"24,Md,Maryland,459,978,11945"
"34,NJ,New Jersey,420,815,13342"
"20,Ks,Kansas,397,918,10353"
"21,Ky,Kentucky,392,876,9288"
"18,In,Indiana,381,745,8667"
"04,Az,Arizona,338,695,8112"
"25,Ma,Massachusetts,307,565,7239"
"15,Hi,Hawaii,291,693,6856"
"55,Wi,Wisconsin,264,470,5594"
"32,Nv,Nevada,254,515,4722"
"35,NM,New Mexico,231,512,5714"
"09,Ct,Connecticut,225,427,7400"
"02,Ak,Alaska,216,531,7820"
"27,Mn,Minnesota,167,295,4309"
"31,Ne,Nebraska,145,331,3658"
"41,Or,Oregon,144,281,3462"
"19,Ia,Iowa,139,270,3138"
"54,WV,West Virginia,114,251,3704"
"23,Me,Maine,107,219,3050"
"11,DC,District of Columbia,105,177,3633"
"49,Ut,Utah,99,231,2332"
"56,Wy,Wyoming,77,176,2077"
"46,SD,South Dakota,74,158,1753"
"10,De,Delaware,71,142,2521"
"33,NH,New Hampshire,70,118,1632"
"16,Id,Idaho,59,123,2421"
"30,Mt,Montana,58,105,1353"
"44,RI,Rhode Island,52,108,1595"
"38,ND,North Dakota,45,101,1114"
"50,Vt,Vermont,27,58,722"
"22,La S,tate Non-Migrant,1327979,3216931,39275670"
