"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,24-Maryland,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Maryland,71818,137377,2323078"
"11,DC,District of Columbia,11914,24060,374551"
"51,Va,Virginia,9995,17870,349534"
"57,FR,Foreign,6055,12137,153004"
"42,Pa,Pennsylvania,6014,10215,179584"
"36,NY,New York,4059,7136,136311"
"06,Ca,California,3836,7737,162419"
"12,Fl,Florida,3731,7016,106187"
"34,NJ,New Jersey,2549,4763,104606"
"37,NC,North Carolina,2160,4292,55960"
"48,Tx,Texas,2073,4522,77634"
"10,De,Delaware,1749,3360,47382"
"39,Oh,Ohio,1385,2500,48182"
"13,Ga,Georgia,1367,2791,41820"
"25,Ma,Massachusetts,1347,2386,51929"
"17,Il,Illinois,1084,2061,45766"
"54,WV,West Virginia,1058,1989,24466"
"09,Ct,Connecticut,928,1643,42054"
"45,SC,South Carolina,842,1770,20092"
"26,Mi,Michigan,840,1486,26388"
"08,Co,Colorado,649,1301,21187"
"47,Tn,Tennessee,616,1137,20558"
"53,Wa,Washington,547,1172,19877"
"04,Az,Arizona,486,957,14312"
"15,Hi,Hawaii,483,1171,15123"
"29,Mo,Missouri,480,885,17587"
"18,In,Indiana,461,886,15997"
"01,Al,Alabama,449,911,13076"
"22,La,Louisiana,415,865,11120"
"21,Ky,Kentucky,371,739,10500"
"23,Me,Maine,303,625,7118"
"55,Wi,Wisconsin,291,514,8265"
"27,Mn,Minnesota,288,496,10989"
"20,Ks,Kansas,274,642,10132"
"44,RI,Rhode Island,268,464,7484"
"40,Ok,Oklahoma,265,562,7534"
"33,NH,New Hampshire,250,424,8269"
"35,NM,New Mexico,231,491,8041"
"28,Ms,Mississippi,215,442,4733"
"02,Ak,Alaska,171,433,5058"
"19,Ia,Iowa,169,307,5185"
"41,Or,Oregon,159,303,5288"
"32,Nv,Nevada,147,274,4413"
"49,Ut,Utah,141,312,4591"
"31,Ne,Nebraska,138,272,3734"
"05,Ar,Arkansas,130,278,3673"
"50,Vt,Vermont,127,195,3295"
"30,Mt,Montana,71,129,1662"
"16,Id,Idaho,67,150,2239"
"38,ND,North Dakota,60,110,1369"
"56,Wy,Wyoming,55,87,1277"
"46,SD,South Dakota,55,109,1523"
"24,Md S,tate Non-Migrant,1802043,3915250,72530875"
