"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,25-Massachusetts,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Massachusetts,56749,92664,1817264"
"36,NY,New York,6377,9726,231668"
"57,FR,Foreign,6017,8181,99356"
"33,NH,New Hampshire,5377,9117,167417"
"09,Ct,Connecticut,4950,7725,185017"
"06,Ca,California,4371,7144,165723"
"12,Fl,Florida,3973,6554,80833"
"44,RI,Rhode Island,3584,6311,115403"
"34,NJ,New Jersey,2179,3724,103998"
"42,Pa,Pennsylvania,1939,3224,74230"
"23,Me,Maine,1664,2549,39470"
"48,Tx,Texas,1397,2688,57152"
"51,Va,Virginia,1361,2459,48516"
"17,Il,Illinois,1130,1898,56005"
"24,Md,Maryland,1040,1814,39636"
"37,NC,North Carolina,957,1855,25454"
"50,Vt,Vermont,949,1476,22278"
"39,Oh,Ohio,929,1564,34744"
"26,Mi,Michigan,743,1237,26629"
"13,Ga,Georgia,686,1235,22311"
"08,Co,Colorado,676,1103,21556"
"53,Wa,Washington,591,946,17234"
"04,Az,Arizona,470,795,12790"
"11,DC,District of Columbia,424,529,15075"
"27,Mn,Minnesota,370,611,14819"
"18,In,Indiana,348,584,11684"
"45,SC,South Carolina,341,642,8457"
"29,Mo,Missouri,339,616,14626"
"55,Wi,Wisconsin,323,514,10911"
"47,Tn,Tennessee,267,481,9034"
"15,Hi,Hawaii,260,501,6847"
"22,La,Louisiana,237,379,5873"
"41,Or,Oregon,232,383,7749"
"21,Ky,Kentucky,217,393,6211"
"01,Al,Alabama,202,373,5940"
"20,Ks,Kansas,179,356,8314"
"40,Ok,Oklahoma,169,338,5281"
"35,NM,New Mexico,162,277,3722"
"32,Nv,Nevada,162,276,3462"
"19,Ia,Iowa,159,240,4166"
"49,Ut,Utah,154,305,4065"
"10,De,Delaware,139,250,5372"
"02,Ak,Alaska,131,274,3415"
"28,Ms,Mississippi,91,178,2883"
"54,WV,West Virginia,89,147,2922"
"31,Ne,Nebraska,86,144,1702"
"30,Mt,Montana,62,97,1248"
"05,Ar,Arkansas,59,112,1700"
"16,Id,Idaho,55,103,1379"
"46,SD,South Dakota,49,81,1024"
"38,ND,North Dakota,43,89,1167"
"56,Wy,Wyoming,40,66,796"
"25,Ma S,tate Non-Migrant,2211814,4556837,88297750"
