"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,31-Nebraska,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Nebraska,20573,44427,517099"
"19,Ia,Iowa,2905,5669,67008"
"06,Ca,California,2126,5041,52083"
"08,Co,Colorado,1427,3034,32180"
"57,FR,Foreign,1338,2557,22414"
"20,Ks,Kansas,1261,2841,32293"
"48,Tx,Texas,1190,2818,33645"
"29,Mo,Missouri,855,1815,23267"
"46,SD,South Dakota,838,1689,16982"
"17,Il,Illinois,702,1513,22104"
"04,Az,Arizona,578,1148,12451"
"27,Mn,Minnesota,534,1118,16656"
"12,Fl,Florida,516,1077,12007"
"56,Wy,Wyoming,447,1017,9115"
"53,Wa,Washington,358,804,9303"
"40,Ok,Oklahoma,307,723,6482"
"51,Va,Virginia,292,715,9658"
"26,Mi,Michigan,285,671,8719"
"36,NY,New York,251,500,7338"
"55,Wi,Wisconsin,237,444,7103"
"39,Oh,Ohio,236,465,6794"
"18,In,Indiana,230,483,6423"
"37,NC,North Carolina,221,477,4767"
"32,Nv,Nevada,215,493,4971"
"02,Ak,Alaska,198,523,5863"
"13,Ga,Georgia,197,460,5738"
"05,Ar,Arkansas,190,434,4483"
"42,Pa,Pennsylvania,180,394,6559"
"38,ND,North Dakota,179,418,5523"
"30,Mt,Montana,178,449,4730"
"35,NM,New Mexico,168,382,4212"
"47,Tn,Tennessee,159,335,4020"
"22,La,Louisiana,158,370,4009"
"49,Ut,Utah,148,350,3574"
"41,Or,Oregon,142,283,3016"
"24,Md,Maryland,140,305,4681"
"15,Hi,Hawaii,139,298,3479"
"45,SC,South Carolina,124,339,3700"
"16,Id,Idaho,117,256,4700"
"34,NJ,New Jersey,117,227,4664"
"09,Ct,Connecticut,111,236,4096"
"21,Ky,Kentucky,110,232,3176"
"25,Ma,Massachusetts,105,194,3191"
"01,Al,Alabama,93,233,2884"
"28,Ms,Mississippi,91,233,1875"
"23,Me,Maine,41,91,936"
"11,DC,District of Columbia,32,46,1330"
"44,RI,Rhode Island,32,83,1080"
"54,WV,West Virginia,26,48,534"
"33,NH,New Hampshire,24,45,637"
"10,De,Delaware,16,34,431"
"50,Vt,Vermont,9,17,215"
"31,Ne S,tate Non-Migrant,580181,1341748,18852064"
