"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,35-NewMexico,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,New Mexico,34996,76991,887991"
"48,Tx,Texas,6651,16126,154966"
"06,Ca,California,5400,11205,147940"
"04,Az,Arizona,3490,8988,71641"
"57,FR,Foreign,2341,5211,53604"
"08,Co,Colorado,2177,4557,50433"
"12,Fl,Florida,1075,2135,25198"
"32,Nv,Nevada,1029,2425,24795"
"36,NY,New York,891,1470,24105"
"17,Il,Illinois,710,1477,24353"
"40,Ok,Oklahoma,669,1485,16341"
"53,Wa,Washington,604,1183,16553"
"49,Ut,Utah,593,1715,17841"
"51,Va,Virginia,559,1186,20436"
"39,Oh,Ohio,499,922,13285"
"42,Pa,Pennsylvania,479,849,13357"
"26,Mi,Michigan,445,876,10996"
"20,Ks,Kansas,441,1019,10605"
"25,Ma,Massachusetts,391,633,11567"
"29,Mo,Missouri,367,767,9826"
"37,NC,North Carolina,345,720,7960"
"22,La,Louisiana,340,804,8959"
"41,Or,Oregon,335,624,7228"
"24,Md,Maryland,333,677,14831"
"13,Ga,Georgia,313,756,9064"
"34,NJ,New Jersey,293,487,9459"
"27,Mn,Minnesota,268,451,6967"
"05,Ar,Arkansas,264,589,5709"
"02,Ak,Alaska,256,628,8820"
"18,In,Indiana,253,479,5286"
"55,Wi,Wisconsin,251,449,5119"
"16,Id,Idaho,241,586,6627"
"45,SC,South Carolina,238,584,5955"
"47,Tn,Tennessee,212,427,5474"
"56,Wy,Wyoming,211,520,5937"
"15,Hi,Hawaii,210,473,8427"
"01,Al,Alabama,199,463,5226"
"09,Ct,Connecticut,191,333,8600"
"31,Ne,Nebraska,190,400,5167"
"19,Ia,Iowa,153,259,3649"
"30,Mt,Montana,149,300,3487"
"21,Ky,Kentucky,144,299,3022"
"28,Ms,Mississippi,126,249,2515"
"23,Me,Maine,118,192,2565"
"46,SD,South Dakota,111,215,2327"
"33,NH,New Hampshire,86,141,2230"
"38,ND,North Dakota,79,177,2286"
"11,DC,District of Columbia,76,121,3289"
"50,Vt,Vermont,72,112,1333"
"44,RI,Rhode Island,52,86,969"
"54,WV,West Virginia,44,93,867"
"10,De,Delaware,32,68,795"
"35,NM S,tate Non-Migrant,516898,1217247,14443184"
