"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,40-Oklahoma,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Oklahoma,44325,97845,1056689"
"48,Tx,Texas,9452,21311,249999"
"06,Ca,California,4708,10238,109496"
"57,FR,Foreign,3894,8487,78873"
"20,Ks,Kansas,2658,5899,64613"
"05,Ar,Arkansas,2384,5434,43882"
"29,Mo,Missouri,1828,3909,40523"
"12,Fl,Florida,1458,3106,34315"
"08,Co,Colorado,1286,2716,30772"
"04,Az,Arizona,1014,2254,23495"
"17,Il,Illinois,966,2069,27210"
"22,La,Louisiana,848,2016,22925"
"51,Va,Virginia,800,1825,21758"
"13,Ga,Georgia,753,1646,17658"
"35,NM,New Mexico,751,1779,19007"
"39,Oh,Ohio,687,1423,15837"
"53,Wa,Washington,679,1533,15164"
"37,NC,North Carolina,678,1477,15486"
"36,NY,New York,627,1327,14585"
"47,Tn,Tennessee,605,1305,13901"
"15,Hi,Hawaii,583,1409,14582"
"26,Mi,Michigan,575,1221,13416"
"24,Md,Maryland,542,1346,15193"
"42,Pa,Pennsylvania,443,898,11577"
"18,In,Indiana,440,931,10105"
"01,Al,Alabama,415,943,9856"
"45,SC,South Carolina,402,944,9703"
"32,Nv,Nevada,392,809,7176"
"19,Ia,Iowa,365,753,7231"
"28,Ms,Mississippi,364,784,6772"
"31,Ne,Nebraska,362,744,8346"
"21,Ky,Kentucky,327,748,7098"
"41,Or,Oregon,310,650,4937"
"27,Mn,Minnesota,297,623,7201"
"55,Wi,Wisconsin,291,552,7018"
"02,Ak,Alaska,286,738,8280"
"34,NJ,New Jersey,278,597,8673"
"25,Ma,Massachusetts,216,384,4930"
"49,Ut,Utah,185,479,4608"
"56,Wy,Wyoming,179,422,4940"
"30,Mt,Montana,134,316,3311"
"09,Ct,Connecticut,126,238,3991"
"46,SD,South Dakota,117,261,2837"
"16,Id,Idaho,107,254,2061"
"38,ND,North Dakota,102,242,2796"
"23,Me,Maine,95,201,2193"
"54,WV,West Virginia,86,156,1755"
"33,NH,New Hampshire,70,138,1898"
"44,RI,Rhode Island,49,85,1139"
"11,DC,District of Columbia,43,73,1169"
"10,De,Delaware,42,102,1834"
"50,Vt,Vermont,26,50,564"
"40,Ok S,tate Non-Migrant,1017473,2359791,30549712"
