"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,41-Oregon,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Oregon,51485,102570,1392814"
"06,Ca,California,19648,41288,569455"
"53,Wa,Washington,8923,16915,225812"
"57,FR,Foreign,1878,3103,37272"
"04,Az,Arizona,1702,3496,41226"
"16,Id,Idaho,1534,3389,34168"
"48,Tx,Texas,1448,3157,42671"
"32,Nv,Nevada,1206,2280,26427"
"08,Co,Colorado,1153,2170,31874"
"02,Ak,Alaska,1097,2103,29625"
"12,Fl,Florida,772,1497,19146"
"36,NY,New York,751,1263,19740"
"49,Ut,Utah,746,1854,19375"
"15,Hi,Hawaii,737,1403,19920"
"17,Il,Illinois,721,1347,24031"
"30,Mt,Montana,631,1120,11190"
"26,Mi,Michigan,504,914,17458"
"25,Ma,Massachusetts,458,702,15530"
"51,Va,Virginia,458,930,16330"
"27,Mn,Minnesota,456,763,11521"
"39,Oh,Ohio,442,835,11886"
"35,NM,New Mexico,394,768,11530"
"42,Pa,Pennsylvania,377,682,12342"
"55,Wi,Wisconsin,376,670,9594"
"29,Mo,Missouri,372,729,10070"
"34,NJ,New Jersey,344,606,11560"
"37,NC,North Carolina,336,686,8902"
"13,Ga,Georgia,311,669,9262"
"20,Ks,Kansas,301,660,7566"
"40,Ok,Oklahoma,293,640,7103"
"24,Md,Maryland,286,543,9408"
"09,Ct,Connecticut,238,378,6512"
"18,In,Indiana,230,424,6076"
"56,Wy,Wyoming,225,451,6114"
"19,Ia,Iowa,215,410,4901"
"22,La,Louisiana,198,376,4373"
"31,Ne,Nebraska,198,413,5838"
"47,Tn,Tennessee,182,349,4137"
"45,SC,South Carolina,142,278,3390"
"05,Ar,Arkansas,139,299,3296"
"01,Al,Alabama,138,291,3441"
"21,Ky,Kentucky,135,288,3588"
"46,SD,South Dakota,125,232,2460"
"38,ND,North Dakota,114,236,2563"
"33,NH,New Hampshire,106,176,2721"
"23,Me,Maine,103,183,2465"
"11,DC,District of Columbia,88,149,3196"
"28,Ms,Mississippi,86,179,1981"
"50,Vt,Vermont,60,88,1038"
"44,RI,Rhode Island,40,70,877"
"10,De,Delaware,40,70,1199"
"54,WV,West Virginia,28,48,654"
"41,Or S,tate Non-Migrant,1011579,2253511,33457892"
