"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,50-Vermont,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Vermont,8694,15499,259658"
"36,NY,New York,1453,2547,46618"
"25,Ma,Massachusetts,1212,2012,34361"
"33,NH,New Hampshire,1137,2058,25882"
"09,Ct,Connecticut,722,1235,28484"
"12,Fl,Florida,496,859,10420"
"06,Ca,California,401,720,11677"
"34,NJ,New Jersey,385,718,13518"
"57,FR,Foreign,297,492,8062"
"51,Va,Virginia,287,611,12587"
"23,Me,Maine,254,443,5629"
"42,Pa,Pennsylvania,248,471,8783"
"08,Co,Colorado,136,196,2464"
"37,NC,North Carolina,125,247,3606"
"48,Tx,Texas,122,247,3075"
"44,RI,Rhode Island,115,186,2549"
"24,Md,Maryland,108,204,3610"
"39,Oh,Ohio,95,169,2669"
"53,Wa,Washington,93,162,2773"
"17,Il,Illinois,90,170,7414"
"04,Az,Arizona,77,152,1578"
"13,Ga,Georgia,66,123,2731"
"26,Mi,Michigan,65,131,1827"
"45,SC,South Carolina,58,124,1314"
"55,Wi,Wisconsin,50,84,1590"
"27,Mn,Minnesota,45,86,1248"
"11,DC,District of Columbia,37,51,1333"
"49,Ut,Utah,36,64,752"
"18,In,Indiana,36,62,869"
"47,Tn,Tennessee,34,68,1187"
"15,Hi,Hawaii,33,61,906"
"29,Mo,Missouri,29,65,782"
"22,La,Louisiana,29,65,713"
"41,Or,Oregon,28,41,640"
"35,NM,New Mexico,25,42,576"
"02,Ak,Alaska,24,43,834"
"40,Ok,Oklahoma,23,51,858"
"01,Al,Alabama,23,42,578"
"21,Ky,Kentucky,22,44,692"
"32,Nv,Nevada,20,36,461"
"54,WV,West Virginia,19,37,379"
"31,Ne,Nebraska,18,37,487"
"10,De,Delaware,18,38,548"
"16,Id,Idaho,15,34,498"
"56,Wy,Wyoming,15,28,338"
"20,Ks,Kansas,15,31,436"
"19,Ia,Iowa,14,22,305"
"28,Ms,Mississippi,14,24,283"
"05,Ar,Arkansas,11,26,216"
"46,SD,South Dakota,7,16,175"
"38,ND,North Dakota,7,15,208"
"30,Mt,Montana,5,9,135"
"50,Vt S,tate Non-Migrant,208557,456188,6614998"
