"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,53-Washington,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Washington,90635,182652,2610545"
"06,Ca,California,24010,50971,768137"
"41,Or,Oregon,10203,19985,282561"
"57,FR,Foreign,7442,15391,173893"
"48,Tx,Texas,3920,8479,119384"
"16,Id,Idaho,3350,6629,78518"
"04,Az,Arizona,2676,5213,65671"
"02,Ak,Alaska,2599,5129,83509"
"12,Fl,Florida,2181,4062,52191"
"08,Co,Colorado,2115,4045,60067"
"36,NY,New York,1905,3223,54027"
"15,Hi,Hawaii,1902,4196,55320"
"17,Il,Illinois,1833,3449,59340"
"30,Mt,Montana,1737,3227,36100"
"51,Va,Virginia,1442,3063,49467"
"32,Nv,Nevada,1438,2820,37575"
"26,Mi,Michigan,1315,2378,31855"
"39,Oh,Ohio,1186,2199,42828"
"49,Ut,Utah,1186,2731,37065"
"27,Mn,Minnesota,1118,1923,31516"
"25,Ma,Massachusetts,1059,1683,32597"
"42,Pa,Pennsylvania,1048,1906,38196"
"37,NC,North Carolina,1012,2034,24454"
"13,Ga,Georgia,966,2027,28483"
"24,Md,Maryland,856,1682,30686"
"29,Mo,Missouri,789,1597,22173"
"55,Wi,Wisconsin,759,1288,19380"
"34,NJ,New Jersey,718,1284,24264"
"35,NM,New Mexico,700,1460,18479"
"45,SC,South Carolina,673,1587,18895"
"20,Ks,Kansas,666,1457,19212"
"47,Tn,Tennessee,663,1337,21059"
"09,Ct,Connecticut,659,1107,26964"
"40,Ok,Oklahoma,650,1422,16070"
"22,La,Louisiana,631,1400,13649"
"18,In,Indiana,615,1142,14204"
"19,Ia,Iowa,526,993,13664"
"31,Ne,Nebraska,442,913,11338"
"01,Al,Alabama,415,922,10445"
"56,Wy,Wyoming,399,788,10157"
"21,Ky,Kentucky,380,841,9662"
"38,ND,North Dakota,336,617,7668"
"05,Ar,Arkansas,320,743,7725"
"46,SD,South Dakota,295,586,7731"
"28,Ms,Mississippi,277,599,7384"
"33,NH,New Hampshire,266,474,7555"
"23,Me,Maine,244,420,5345"
"11,DC,District of Columbia,229,349,7910"
"44,RI,Rhode Island,151,299,4218"
"50,Vt,Vermont,139,212,3105"
"54,WV,West Virginia,108,211,2925"
"10,De,Delaware,86,159,5924"
"53,Wa S,tate Non-Migrant,1833601,4031130,68545302"
