"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,02-Alaska,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Alaska,16849,37851,512137"
"53,Wa,Washington,2599,5129,83509"
"06,Ca,California,1525,3209,43777"
"41,Or,Oregon,1097,2103,29625"
"48,Tx,Texas,1087,2749,43328"
"08,Co,Colorado,644,1403,20125"
"12,Fl,Florida,628,1316,16746"
"04,Az,Arizona,575,1135,14744"
"57,FR,Foreign,439,850,12733"
"13,Ga,Georgia,434,1191,13018"
"16,Id,Idaho,425,1012,13410"
"37,NC,North Carolina,399,1033,10546"
"51,Va,Virginia,395,1063,12713"
"30,Mt,Montana,368,785,11273"
"36,NY,New York,301,715,8735"
"40,Ok,Oklahoma,286,738,8280"
"27,Mn,Minnesota,282,592,7316"
"26,Mi,Michigan,280,630,7030"
"15,Hi,Hawaii,269,575,7738"
"32,Nv,Nevada,265,525,10452"
"29,Mo,Missouri,264,662,7861"
"35,NM,New Mexico,256,628,8820"
"39,Oh,Ohio,252,606,7233"
"47,Tn,Tennessee,251,692,7612"
"01,Al,Alabama,236,642,7453"
"17,Il,Illinois,221,502,6132"
"22,La,Louisiana,216,531,7820"
"20,Ks,Kansas,215,597,6934"
"49,Ut,Utah,207,478,7298"
"31,Ne,Nebraska,198,523,5863"
"42,Pa,Pennsylvania,197,473,5551"
"55,Wi,Wisconsin,189,384,4963"
"21,Ky,Kentucky,185,528,5849"
"24,Md,Maryland,171,433,5058"
"05,Ar,Arkansas,160,342,4639"
"45,SC,South Carolina,143,381,3837"
"18,In,Indiana,143,343,3711"
"25,Ma,Massachusetts,131,274,3415"
"56,Wy,Wyoming,112,271,5549"
"28,Ms,Mississippi,103,237,2813"
"34,NJ,New Jersey,101,224,2599"
"46,SD,South Dakota,99,268,2647"
"19,Ia,Iowa,96,194,2452"
"23,Me,Maine,90,187,2026"
"38,ND,North Dakota,83,217,2235"
"54,WV,West Virginia,60,135,1653"
"33,NH,New Hampshire,41,84,1029"
"09,Ct,Connecticut,37,51,836"
"11,DC,District of Columbia,26,52,910"
"10,De,Delaware,25,80,692"
"50,Vt,Vermont,24,43,834"
"44,RI,Rhode Island,19,36,715"
"02,Ak S,tate Non-Migrant,183618,424179,7472048"
