"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,06-California,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,California,315822,659933,9859336"
"48,Tx,Texas,25539,58639,808610"
"53,Wa,Washington,24010,50971,768137"
"04,Az,Arizona,23796,50823,701646"
"41,Or,Oregon,19648,41288,569455"
"32,Nv,Nevada,19216,38587,571135"
"57,FR,Foreign,17823,34814,480647"
"08,Co,Colorado,15818,32698,530787"
"12,Fl,Florida,13154,26901,421044"
"17,Il,Illinois,9934,20606,330407"
"36,NY,New York,9513,15853,316316"
"51,Va,Virginia,7632,16689,281311"
"15,Hi,Hawaii,7146,13351,192567"
"13,Ga,Georgia,6895,14949,248978"
"49,Ut,Utah,6822,16370,200649"
"39,Oh,Ohio,6054,12360,199838"
"16,Id,Idaho,6032,14469,183116"
"37,NC,North Carolina,5929,13354,200945"
"29,Mo,Missouri,5610,12033,164553"
"35,NM,New Mexico,5400,11205,147940"
"42,Pa,Pennsylvania,5285,10594,193837"
"26,Mi,Michigan,5159,10136,153709"
"40,Ok,Oklahoma,4708,10238,109496"
"25,Ma,Massachusetts,4371,7144,165723"
"27,Mn,Minnesota,4240,8228,150846"
"47,Tn,Tennessee,4040,8852,126609"
"34,NJ,New Jersey,3929,7797,173722"
"24,Md,Maryland,3836,7737,162419"
"18,In,Indiana,3578,7485,107146"
"05,Ar,Arkansas,3431,7650,81958"
"22,La,Louisiana,3346,7122,91145"
"55,Wi,Wisconsin,3309,6394,95316"
"20,Ks,Kansas,3120,6924,93904"
"30,Mt,Montana,2761,5733,71905"
"19,Ia,Iowa,2599,5551,68471"
"01,Al,Alabama,2353,5310,71035"
"02,Ak,Alaska,2206,4483,56715"
"45,SC,South Carolina,2199,5057,68009"
"31,Ne,Nebraska,2126,5041,52083"
"21,Ky,Kentucky,2120,4514,63147"
"09,Ct,Connecticut,1995,3697,119984"
"28,Ms,Mississippi,1541,3413,38708"
"56,Wy,Wyoming,1218,2616,35032"
"11,DC,District of Columbia,1171,1592,34246"
"46,SD,South Dakota,987,2126,27808"
"33,NH,New Hampshire,760,1464,27840"
"23,Me,Maine,755,1494,21331"
"44,RI,Rhode Island,726,1529,23347"
"38,ND,North Dakota,650,1296,15393"
"54,WV,West Virginia,534,1177,15615"
"50,Vt,Vermont,401,720,11677"
"10,De,Delaware,397,859,13079"
"06,Ca S,tate Non-Migrant,10211198,23236233,387309800"
