"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,09-Connecticut,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Connecticut,46731,83912,2060261"
"12,Fl,Florida,6469,11821,262357"
"36,NY,New York,6242,10192,305883"
"25,Ma,Massachusetts,4950,7725,185017"
"06,Ca,California,2753,4433,121366"
"51,Va,Virginia,1874,3715,74378"
"34,NJ,New Jersey,1725,3180,97002"
"57,FR,Foreign,1700,3241,75101"
"37,NC,North Carolina,1650,3235,65818"
"42,Pa,Pennsylvania,1613,3085,79386"
"13,Ga,Georgia,1556,3214,70015"
"48,Tx,Texas,1385,2732,83871"
"44,RI,Rhode Island,1109,1831,39403"
"23,Me,Maine,976,1863,32959"
"17,Il,Illinois,935,1828,60942"
"24,Md,Maryland,928,1643,42054"
"45,SC,South Carolina,907,1916,37197"
"08,Co,Colorado,883,1397,27698"
"39,Oh,Ohio,870,1798,55794"
"33,NH,New Hampshire,863,1583,39572"
"50,Vt,Vermont,722,1235,28484"
"04,Az,Arizona,698,1172,24045"
"53,Wa,Washington,659,1107,26964"
"26,Mi,Michigan,503,1026,29552"
"47,Tn,Tennessee,393,856,19622"
"18,In,Indiana,323,661,21014"
"29,Mo,Missouri,304,592,14132"
"11,DC,District of Columbia,303,370,7505"
"27,Mn,Minnesota,286,531,15667"
"55,Wi,Wisconsin,269,508,12617"
"41,Or,Oregon,238,378,6512"
"22,La,Louisiana,225,427,7400"
"01,Al,Alabama,208,459,6993"
"21,Ky,Kentucky,206,416,10856"
"15,Hi,Hawaii,195,330,5610"
"35,NM,New Mexico,191,333,8600"
"32,Nv,Nevada,190,317,6935"
"49,Ut,Utah,152,284,6124"
"20,Ks,Kansas,147,299,6542"
"40,Ok,Oklahoma,126,238,3991"
"54,WV,West Virginia,119,237,4696"
"10,De,Delaware,111,213,4429"
"31,Ne,Nebraska,111,236,4096"
"19,Ia,Iowa,110,242,4414"
"28,Ms,Mississippi,109,219,3194"
"05,Ar,Arkansas,107,215,5212"
"02,Ak,Alaska,85,146,1753"
"16,Id,Idaho,78,152,2276"
"30,Mt,Montana,65,95,1954"
"56,Wy,Wyoming,58,100,1997"
"46,SD,South Dakota,34,58,916"
"38,ND,North Dakota,18,28,346"
"09,Ct S,tate Non-Migrant,1233330,2574811,58081271"
