"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,12-Florida,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Florida,179982,352961,4481819"
"13,Ga,Georgia,18119,36444,482748"
"48,Tx,Texas,11556,26126,303694"
"36,NY,New York,10910,18608,242544"
"37,NC,North Carolina,10451,21470,283922"
"57,FR,Foreign,9426,18862,211797"
"06,Ca,California,8956,16447,243269"
"51,Va,Virginia,7732,16242,214084"
"39,Oh,Ohio,7473,14059,168076"
"01,Al,Alabama,6440,13881,154216"
"42,Pa,Pennsylvania,6406,12024,154449"
"47,Tn,Tennessee,6355,13168,157482"
"17,Il,Illinois,5670,10447,156485"
"26,Mi,Michigan,5104,9308,105417"
"34,NJ,New Jersey,5055,9028,126083"
"45,SC,South Carolina,5054,10587,127999"
"18,In,Indiana,4171,8210,95212"
"25,Ma,Massachusetts,3973,6554,80833"
"24,Md,Maryland,3731,7016,106187"
"08,Co,Colorado,3472,6506,86571"
"21,Ky,Kentucky,3266,6484,70655"
"22,La,Louisiana,2726,5618,67731"
"09,Ct,Connecticut,2494,4406,74089"
"04,Az,Arizona,2404,4598,65266"
"29,Mo,Missouri,2376,4679,59664"
"53,Wa,Washington,2181,4062,52191"
"28,Ms,Mississippi,2073,4427,44663"
"55,Wi,Wisconsin,2064,3896,50588"
"27,Mn,Minnesota,1518,2757,45358"
"32,Nv,Nevada,1493,2749,42532"
"40,Ok,Oklahoma,1458,3106,34315"
"05,Ar,Arkansas,1366,2954,29142"
"54,WV,West Virginia,1320,2584,26096"
"23,Me,Maine,1184,2215,23522"
"33,NH,New Hampshire,1128,2004,27026"
"35,NM,New Mexico,1075,2135,25198"
"15,Hi,Hawaii,1018,1908,27150"
"20,Ks,Kansas,1001,2063,24256"
"19,Ia,Iowa,893,1787,20095"
"44,RI,Rhode Island,803,1505,17948"
"41,Or,Oregon,772,1497,19146"
"02,Ak,Alaska,754,1567,17697"
"10,De,Delaware,688,1446,18337"
"16,Id,Idaho,610,1251,13801"
"49,Ut,Utah,584,1353,18087"
"11,DC,District of Columbia,574,815,15333"
"31,Ne,Nebraska,516,1077,12007"
"50,Vt,Vermont,496,859,10420"
"30,Mt,Montana,360,700,8194"
"56,Wy,Wyoming,280,554,10680"
"46,SD,South Dakota,239,510,5839"
"38,ND,North Dakota,214,408,3725"
"12,Fl S,tate Non-Migrant,4783656,10041286,154898732"
