"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,25-Massachusetts,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Massachusetts,69209,119348,2370880"
"12,Fl,Florida,8524,15079,257040"
"33,NH,New Hampshire,7912,14543,279388"
"36,NY,New York,5884,8942,192608"
"06,Ca,California,5603,8196,191937"
"09,Ct,Connecticut,4234,6781,167919"
"44,RI,Rhode Island,3098,5173,102942"
"57,FR,Foreign,2788,5223,86000"
"51,Va,Virginia,2186,4058,76211"
"23,Me,Maine,2099,3710,67308"
"48,Tx,Texas,2052,3872,77637"
"42,Pa,Pennsylvania,2016,3678,83991"
"34,NJ,New Jersey,1935,3351,84843"
"37,NC,North Carolina,1683,3288,57304"
"13,Ga,Georgia,1562,2837,55205"
"08,Co,Colorado,1396,2162,38345"
"17,Il,Illinois,1357,2261,56890"
"24,Md,Maryland,1347,2386,51929"
"50,Vt,Vermont,1212,2012,34361"
"04,Az,Arizona,1102,2025,34253"
"39,Oh,Ohio,1093,2095,52142"
"53,Wa,Washington,1059,1683,32597"
"26,Mi,Michigan,738,1305,31736"
"11,DC,District of Columbia,720,838,18906"
"45,SC,South Carolina,687,1305,21416"
"47,Tn,Tennessee,527,1018,17325"
"27,Mn,Minnesota,469,851,23204"
"41,Or,Oregon,458,702,15530"
"15,Hi,Hawaii,427,709,10628"
"18,In,Indiana,417,800,14229"
"29,Mo,Missouri,415,797,14578"
"55,Wi,Wisconsin,401,745,13829"
"35,NM,New Mexico,391,633,11567"
"32,Nv,Nevada,367,559,10092"
"01,Al,Alabama,365,770,12257"
"21,Ky,Kentucky,321,616,9925"
"22,La,Louisiana,307,565,7239"
"40,Ok,Oklahoma,216,384,4930"
"20,Ks,Kansas,210,376,5927"
"02,Ak,Alaska,202,343,4199"
"49,Ut,Utah,199,354,5724"
"19,Ia,Iowa,191,329,5217"
"10,De,Delaware,134,262,5170"
"28,Ms,Mississippi,134,279,3508"
"30,Mt,Montana,132,223,3447"
"54,WV,West Virginia,121,261,4901"
"05,Ar,Arkansas,118,234,3818"
"31,Ne,Nebraska,105,194,3191"
"16,Id,Idaho,99,200,3056"
"56,Wy,Wyoming,83,112,1666"
"46,SD,South Dakota,62,125,1686"
"38,ND,North Dakota,51,104,1129"
"25,Ma S,tate Non-Migrant,2211814,4556837,88297750"
