"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,30-Montana,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Montana,12093,24022,260662"
"53,Wa,Washington,1737,3227,36100"
"06,Ca,California,917,1657,18825"
"16,Id,Idaho,796,1676,16285"
"56,Wy,Wyoming,701,1513,15917"
"08,Co,Colorado,701,1307,15591"
"41,Or,Oregon,631,1120,11190"
"04,Az,Arizona,538,979,11089"
"38,ND,North Dakota,446,914,8077"
"48,Tx,Texas,441,948,10429"
"57,FR,Foreign,427,865,7479"
"27,Mn,Minnesota,408,845,10128"
"32,Nv,Nevada,342,687,8532"
"49,Ut,Utah,322,705,8577"
"02,Ak,Alaska,318,666,7694"
"46,SD,South Dakota,269,593,5955"
"12,Fl,Florida,249,497,5676"
"31,Ne,Nebraska,178,449,4730"
"35,NM,New Mexico,149,300,3487"
"29,Mo,Missouri,139,298,3061"
"37,NC,North Carolina,139,270,2703"
"17,Il,Illinois,136,277,3690"
"26,Mi,Michigan,135,288,2979"
"55,Wi,Wisconsin,135,280,2321"
"40,Ok,Oklahoma,134,316,3311"
"51,Va,Virginia,131,258,3273"
"36,NY,New York,125,206,2111"
"39,Oh,Ohio,117,222,2938"
"13,Ga,Georgia,111,210,2434"
"19,Ia,Iowa,110,217,2028"
"20,Ks,Kansas,104,225,2070"
"42,Pa,Pennsylvania,98,186,2108"
"18,In,Indiana,91,202,1863"
"47,Tn,Tennessee,86,186,2183"
"24,Md,Maryland,71,129,1662"
"15,Hi,Hawaii,69,114,1388"
"01,Al,Alabama,63,166,1674"
"25,Ma,Massachusetts,62,97,1248"
"21,Ky,Kentucky,60,131,1111"
"22,La,Louisiana,58,105,1353"
"05,Ar,Arkansas,53,137,1493"
"34,NJ,New Jersey,53,84,1061"
"45,SC,South Carolina,49,100,1058"
"54,WV,West Virginia,36,80,662"
"33,NH,New Hampshire,34,73,774"
"28,Ms,Mississippi,34,76,665"
"09,Ct,Connecticut,31,47,364"
"23,Me,Maine,28,42,598"
"11,DC,District of Columbia,13,14,252"
"44,RI,Rhode Island,9,18,179"
"50,Vt,Vermont,5,9,135"
"10,De,Delaware,4,11,151"
"30,Mt S,tate Non-Migrant,280048,641863,7849286"
