"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,31-Nebraska,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Nebraska,21180,45085,583544"
"19,Ia,Iowa,2764,5732,65806"
"08,Co,Colorado,1830,3593,43356"
"48,Tx,Texas,1433,3180,44214"
"20,Ks,Kansas,1347,2733,31811"
"06,Ca,California,1106,2135,24160"
"29,Mo,Missouri,1080,2214,30989"
"17,Il,Illinois,819,1825,26744"
"51,Va,Virginia,807,2304,31866"
"57,FR,Foreign,801,1700,18335"
"46,SD,South Dakota,795,1617,20949"
"04,Az,Arizona,710,1359,17935"
"27,Mn,Minnesota,672,1350,20681"
"12,Fl,Florida,635,1351,19927"
"56,Wy,Wyoming,480,1086,10937"
"53,Wa,Washington,442,913,11338"
"40,Ok,Oklahoma,362,744,8346"
"13,Ga,Georgia,281,618,8570"
"39,Oh,Ohio,281,683,10169"
"55,Wi,Wisconsin,270,582,8065"
"18,In,Indiana,257,561,7732"
"37,NC,North Carolina,253,512,6693"
"05,Ar,Arkansas,240,591,7745"
"26,Mi,Michigan,237,518,8736"
"36,NY,New York,236,473,12517"
"32,Nv,Nevada,215,392,6625"
"41,Or,Oregon,198,413,5838"
"47,Tn,Tennessee,194,438,5579"
"42,Pa,Pennsylvania,192,403,6488"
"35,NM,New Mexico,190,400,5167"
"01,Al,Alabama,172,450,5753"
"30,Mt,Montana,169,399,4395"
"38,ND,North Dakota,153,356,4453"
"49,Ut,Utah,153,384,4047"
"22,La,Louisiana,145,331,3658"
"24,Md,Maryland,138,272,3734"
"16,Id,Idaho,124,313,3184"
"02,Ak,Alaska,123,299,3232"
"45,SC,South Carolina,117,266,2937"
"21,Ky,Kentucky,116,252,2752"
"15,Hi,Hawaii,115,257,3211"
"28,Ms,Mississippi,110,270,2590"
"34,NJ,New Jersey,91,175,3322"
"25,Ma,Massachusetts,86,144,1702"
"09,Ct,Connecticut,56,97,1673"
"23,Me,Maine,36,81,914"
"54,WV,West Virginia,35,85,1181"
"11,DC,District of Columbia,32,54,628"
"33,NH,New Hampshire,25,52,853"
"44,RI,Rhode Island,20,44,1046"
"10,De,Delaware,19,47,474"
"50,Vt,Vermont,18,37,487"
"31,Ne S,tate Non-Migrant,580181,1341748,18852064"
