"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,32-Nevada,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Nevada,31284,62650,739926"
"06,Ca,California,7222,13466,173252"
"04,Az,Arizona,2617,5249,61172"
"48,Tx,Texas,1670,3560,39314"
"49,Ut,Utah,1624,3844,39299"
"08,Co,Colorado,1444,2919,36132"
"53,Wa,Washington,1438,2820,37575"
"41,Or,Oregon,1206,2280,26427"
"12,Fl,Florida,1188,2238,27900"
"35,NM,New Mexico,1029,2425,24795"
"16,Id,Idaho,920,2077,20351"
"17,Il,Illinois,816,1548,20461"
"57,FR,Foreign,798,1615,18397"
"36,NY,New York,483,867,10995"
"39,Oh,Ohio,463,872,9350"
"29,Mo,Missouri,450,944,9444"
"30,Mt,Montana,444,923,10936"
"28,Ms,Mississippi,413,822,11235"
"40,Ok,Oklahoma,392,809,7176"
"26,Mi,Michigan,385,737,8775"
"27,Mn,Minnesota,365,696,8141"
"42,Pa,Pennsylvania,351,676,8161"
"55,Wi,Wisconsin,339,621,7183"
"15,Hi,Hawaii,330,576,7591"
"51,Va,Virginia,323,672,10501"
"37,NC,North Carolina,315,667,7642"
"13,Ga,Georgia,308,611,6798"
"56,Wy,Wyoming,285,618,6442"
"18,In,Indiana,285,571,6675"
"19,Ia,Iowa,270,567,5906"
"20,Ks,Kansas,268,570,5971"
"47,Tn,Tennessee,264,541,7042"
"22,La,Louisiana,254,515,4722"
"34,NJ,New Jersey,234,394,4808"
"05,Ar,Arkansas,223,474,4417"
"31,Ne,Nebraska,215,493,4971"
"02,Ak,Alaska,203,454,6054"
"21,Ky,Kentucky,178,327,4215"
"45,SC,South Carolina,177,429,4235"
"25,Ma,Massachusetts,162,276,3462"
"01,Al,Alabama,159,341,3362"
"46,SD,South Dakota,153,342,3486"
"24,Md,Maryland,147,274,4413"
"38,ND,North Dakota,104,206,2075"
"09,Ct,Connecticut,100,196,2663"
"23,Me,Maine,52,113,1161"
"33,NH,New Hampshire,44,78,1006"
"54,WV,West Virginia,43,95,852"
"11,DC,District of Columbia,42,65,1146"
"10,De,Delaware,41,99,1001"
"44,RI,Rhode Island,28,42,377"
"50,Vt,Vermont,20,36,461"
"32,Nv S,tate Non-Migrant,473284,1008864,16616610"
