"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,44-RhodeIsland,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Rhode Island,13965,26587,437457"
"25,Ma,Massachusetts,3584,6311,115403"
"12,Fl,Florida,1857,3524,57284"
"09,Ct,Connecticut,956,1696,29002"
"36,NY,New York,812,1356,27294"
"51,Va,Virginia,721,1845,24002"
"06,Ca,California,695,1222,20219"
"57,FR,Foreign,435,940,13074"
"42,Pa,Pennsylvania,340,660,10398"
"48,Tx,Texas,319,671,9155"
"33,NH,New Hampshire,298,535,15436"
"34,NJ,New Jersey,298,541,10007"
"37,NC,North Carolina,288,604,8166"
"24,Md,Maryland,268,464,7484"
"23,Me,Maine,256,526,7240"
"13,Ga,Georgia,245,506,6488"
"45,SC,South Carolina,240,595,7464"
"39,Oh,Ohio,204,419,7486"
"17,Il,Illinois,159,312,4312"
"53,Wa,Washington,151,299,4218"
"08,Co,Colorado,146,237,3397"
"04,Az,Arizona,144,254,4864"
"50,Vt,Vermont,115,186,2549"
"26,Mi,Michigan,102,218,3355"
"32,Nv,Nevada,90,139,3270"
"47,Tn,Tennessee,90,192,2665"
"18,In,Indiana,83,168,2565"
"55,Wi,Wisconsin,81,225,3003"
"15,Hi,Hawaii,77,162,2342"
"27,Mn,Minnesota,74,148,3868"
"11,DC,District of Columbia,72,84,1205"
"21,Ky,Kentucky,71,147,2592"
"01,Al,Alabama,64,148,1618"
"28,Ms,Mississippi,60,155,1647"
"29,Mo,Missouri,60,137,2094"
"22,La,Louisiana,52,108,1595"
"35,NM,New Mexico,52,86,969"
"40,Ok,Oklahoma,49,85,1139"
"41,Or,Oregon,40,70,877"
"49,Ut,Utah,37,58,729"
"20,Ks,Kansas,35,70,688"
"31,Ne,Nebraska,32,83,1080"
"19,Ia,Iowa,32,51,790"
"10,De,Delaware,29,48,510"
"54,WV,West Virginia,28,70,824"
"05,Ar,Arkansas,28,58,943"
"02,Ak,Alaska,27,53,825"
"16,Id,Idaho,22,33,369"
"30,Mt,Montana,14,28,278"
"56,Wy,Wyoming,14,29,324"
"38,ND,North Dakota,10,16,227"
"46,SD,South Dakota,9,15,124"
"44,RI S,tate Non-Migrant,354155,741783,12505708"
