"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,45-SouthCarolina,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,South Carolina,47515,102454,1206947"
"37,NC,North Carolina,8589,17571,223880"
"13,Ga,Georgia,6221,12639,155610"
"12,Fl,Florida,4537,9776,114066"
"51,Va,Virginia,2781,6283,74484"
"57,FR,Foreign,2698,5844,58452"
"48,Tx,Texas,2138,5015,57534"
"47,Tn,Tennessee,1577,3519,43669"
"06,Ca,California,1476,3116,39409"
"39,Oh,Ohio,1308,2875,34764"
"36,NY,New York,1296,2568,25190"
"42,Pa,Pennsylvania,1093,2243,27461"
"01,Al,Alabama,1068,2586,31254"
"24,Md,Maryland,842,1770,20092"
"17,Il,Illinois,775,1674,21539"
"53,Wa,Washington,673,1587,18895"
"26,Mi,Michigan,666,1425,17926"
"21,Ky,Kentucky,654,1406,15451"
"34,NJ,New Jersey,649,1252,15855"
"22,La,Louisiana,648,1509,15215"
"18,In,Indiana,554,1206,14120"
"08,Co,Colorado,542,1140,14082"
"04,Az,Arizona,501,1080,11839"
"54,WV,West Virginia,495,1148,9470"
"29,Mo,Missouri,429,1037,12143"
"28,Ms,Mississippi,422,1004,8979"
"40,Ok,Oklahoma,402,944,9703"
"15,Hi,Hawaii,396,944,9451"
"09,Ct,Connecticut,391,889,9786"
"25,Ma,Massachusetts,341,642,8457"
"55,Wi,Wisconsin,303,658,9486"
"05,Ar,Arkansas,280,725,7657"
"20,Ks,Kansas,241,558,6922"
"35,NM,New Mexico,238,584,5955"
"02,Ak,Alaska,194,501,4547"
"11,DC,District of Columbia,188,328,3859"
"49,Ut,Utah,166,434,4591"
"19,Ia,Iowa,164,383,4154"
"32,Nv,Nevada,160,366,4685"
"27,Mn,Minnesota,157,338,4161"
"23,Me,Maine,157,349,3824"
"10,De,Delaware,148,341,4717"
"33,NH,New Hampshire,147,300,3666"
"41,Or,Oregon,142,278,3390"
"31,Ne,Nebraska,124,339,3700"
"16,Id,Idaho,124,291,3321"
"44,RI,Rhode Island,103,243,2727"
"30,Mt,Montana,77,180,1616"
"38,ND,North Dakota,68,166,1372"
"46,SD,South Dakota,59,150,1276"
"50,Vt,Vermont,58,124,1314"
"56,Wy,Wyoming,55,126,1231"
"45,SC S,tate Non-Migrant,1227063,2806681,36184973"
