"1993 - 1994 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"TO: ,DELAWARE,,NUMBER OF,NUMBER OF,TOTAL MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"10, ,Total Inflow,12542,24583,396537"
"42,Pa,Pennsylvania,3275,6155,104070"
"24,Md,Maryland,2132,4014,60789"
"34,NJ,New Jersey,1224,2261,41709"
"36,NY,New York,726,1448,27706"
"51,Va,Virginia,632,1302,20138"
"12,Fl,Florida,561,1104,12221"
"57,FR,Foreign,549,1102,16348"
"6,Ca,California,417,891,14107"
"48,Tx,Texas,326,696,10452"
"37,NC,North Carolina,245,497,6870"
"39,Oh,Ohio,215,455,7139"
"13,Ga,Georgia,165,329,6142"
"17,Il,Illinois,158,360,6449"
"25,Ma,Massachusetts,153,257,4541"
"26,Mi,Michigan,144,305,5259"
"9,Ct,Connecticut,115,226,5497"
"45,SC,South Carolina,102,227,2921"
"47,Tn,Tennessee,96,220,3800"
"29,Mo,Missouri,89,193,3211"
"53,Wa,Washington,87,219,3688"
"1,Al,Alabama,76,188,2561"
"40,Ok,Oklahoma,75,174,2706"
"18,In,Indiana,71,139,1895"
"8,Co,Colorado,70,135,2664"
"11,DC,District of Columbia,69,122,1870"
"54,WV,West Virginia,61,111,2136"
"4,Az,Arizona,60,114,1977"
"22,La,Louisiana,53,106,2236"
"23,Me,Maine,52,106,1341"
"28,Ms,Mississippi,44,89,1408"
"15,Hi,Hawaii,43,89,989"
"33,NH,New Hampshire,41,76,898"
"55,Wi,Wisconsin,38,70,927"
"21,Ky,Kentucky,38,69,1171"
"20,Ks,Kansas,33,70,796"
"5,Ar,Arkansas,33,76,727"
"27,Mn,Minnesota,32,49,730"
"35,NM,New Mexico,30,66,843"
"19,Ia,Iowa,24,52,720"
"2,Ak,Alaska,23,68,734"
"49,Ut,Utah,23,67,680"
"44,RI,Rhode Island,22,39,435"
"41,Or,Oregon,19,31,532"
"31,Ne,Nebraska,18,43,504"
"56,Wy,Wyoming,16,35,388"
"50,Vt,Vermont,15,26,312"
"38,ND,North Dakota,14,35,331"
"32,Nv,Nevada,14,25,322"
"16,Id,Idaho,12,23,383"
"46,SD,South Dakota,7,17,150"
"30,Mt,Montana,5,12,114"
"10,De,State Non-Migrant,256478,561740,9879374"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
