"1993 - 1994 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"TO: ,FOREIGN,,NUMBER OF,NUMBER OF,TOTAL MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"57, ,Total Inflow,120732,237864,3332433"
"6,Ca,California,16328,31316,448957"
"48,Tx,Texas,9658,20068,281080"
"12,Fl,Florida,8718,16733,200352"
"36,NY,New York,7750,14621,299167"
"51,Va,Virginia,7378,15817,232264"
"37,NC,North Carolina,4489,9575,98800"
"13,Ga,Georgia,4354,9454,102084"
"17,Il,Illinois,3816,6754,104083"
"53,Wa,Washington,3327,6635,84208"
"42,Pa,Pennsylvania,3241,5682,86210"
"24,Md,Maryland,3202,6921,104807"
"34,NJ,New Jersey,3077,6567,125946"
"39,Oh,Ohio,2787,4850,70287"
"25,Ma,Massachusetts,2695,4888,95053"
"26,Mi,Michigan,2651,4677,75184"
"8,Co,Colorado,2459,5067,63530"
"45,SC,South Carolina,2244,4550,49356"
"4,Az,Arizona,2021,4213,49116"
"1,Al,Alabama,1834,3878,42016"
"40,Ok,Oklahoma,1817,3973,40317"
"15,Hi,Hawaii,1813,3381,45028"
"21,Ky,Kentucky,1691,3557,33097"
"9,Ct,Connecticut,1616,3129,71441"
"47,Tn,Tennessee,1556,2938,33545"
"29,Mo,Missouri,1545,2952,37092"
"22,La,Louisiana,1482,2982,37185"
"20,Ks,Kansas,1452,3371,36348"
"18,In,Indiana,1342,2411,31020"
"35,NM,New Mexico,1097,2278,23368"
"28,Ms,Mississippi,1050,1991,21242"
"27,Mn,Minnesota,1019,1740,31860"
"41,Or,Oregon,997,1637,21659"
"55,Wi,Wisconsin,986,1667,25942"
"11,DC,District of Columbia,986,1938,44641"
"31,Ne,Nebraska,714,1396,15272"
"32,Nv,Nevada,699,1352,22015"
"5,Ar,Arkansas,677,1269,12571"
"49,Ut,Utah,657,1514,16265"
"19,Ia,Iowa,625,1003,11154"
"23,Me,Maine,617,1066,12575"
"38,ND,North Dakota,524,1083,9806"
"16,Id,Idaho,512,900,9722"
"2,Ak,Alaska,457,882,13070"
"44,RI,Rhode Island,433,888,11574"
"30,Mt,Montana,410,766,7231"
"33,NH,New Hampshire,395,617,9897"
"46,SD,South Dakota,378,788,6969"
"54,WV,West Virginia,366,626,7676"
"10,De,Delaware,345,725,10674"
"56,Wy,Wyoming,269,506,5242"
"50,Vt,Vermont,176,272,4435"
"57,FR,State Non-Migrant,395822,860597,13158142"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
