"1993 - 1994 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"TO:,KANSAS,,NUMBER OF,NUMBER OF,TOTAL MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"20, ,Total Inflow,39168,84845,1152429"
"29,Mo,Missouri,7904,15318,256829"
"48,Tx,Texas,3526,8186,103785"
"57,FR,Foreign,3321,6703,60330"
"6,Ca,California,3191,7441,92752"
"40,Ok,Oklahoma,2400,5313,59594"
"8,Co,Colorado,1726,3803,40996"
"31,Ne,Nebraska,1471,3159,39302"
"17,Il,Illinois,1214,2671,53637"
"12,Fl,Florida,938,1960,25831"
"19,Ia,Iowa,919,1866,24496"
"4,Az,Arizona,736,1546,19230"
"51,Va,Virginia,658,1697,25607"
"13,Ga,Georgia,650,1589,22375"
"39,Oh,Ohio,621,1389,24080"
"5,Ar,Arkansas,615,1341,14731"
"53,Wa,Washington,605,1400,17128"
"36,NY,New York,587,1358,18212"
"26,Mi,Michigan,552,1094,16936"
"37,NC,North Carolina,498,1211,15763"
"18,In,Indiana,465,1051,16032"
"27,Mn,Minnesota,452,967,16549"
"42,Pa,Pennsylvania,430,917,15566"
"47,Tn,Tennessee,414,930,13411"
"35,NM,New Mexico,408,1001,11053"
"22,La,Louisiana,384,908,9455"
"1,Al,Alabama,366,915,10997"
"55,Wi,Wisconsin,326,676,10127"
"21,Ky,Kentucky,321,740,9392"
"24,Md,Maryland,294,761,11986"
"41,Or,Oregon,244,513,5347"
"45,SC,South Carolina,240,560,5982"
"15,Hi,Hawaii,233,603,6430"
"32,Nv,Nevada,228,453,4633"
"25,Ma,Massachusetts,222,434,9647"
"34,NJ,New Jersey,217,486,13396"
"46,SD,South Dakota,211,447,4812"
"28,Ms,Mississippi,202,406,4667"
"2,Ak,Alaska,184,448,5289"
"49,Ut,Utah,171,409,4090"
"56,Wy,Wyoming,167,379,3773"
"9,Ct,Connecticut,152,336,11194"
"38,ND,North Dakota,125,256,2785"
"30,Mt,Montana,115,225,2339"
"16,Id,Idaho,102,237,1803"
"54,WV,West Virginia,86,186,2217"
"23,Me,Maine,81,176,1834"
"33,NH,New Hampshire,58,104,1851"
"10,De,Delaware,40,90,1430"
"44,RI,Rhode Island,37,83,984"
"50,Vt,Vermont,31,60,912"
"11,DC,District of Columbia,30,43,832"
"20,Ks,State Non-Migrant,861246,1997406,30342337"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
