"1993 - 1994 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"TO:,MISSOURI,,NUMBER OF,NUMBER OF,TOTAL MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"29, ,Total Inflow,62581,128587,1798008"
"20,Ks,Kansas,8822,16990,254503"
"17,Il,Illinois,7585,14463,215074"
"6,Ca,California,5589,12165,170498"
"48,Tx,Texas,4100,9014,131536"
"57,FR,Foreign,2970,5322,54522"
"5,Ar,Arkansas,2584,5720,51110"
"12,Fl,Florida,2357,4725,62256"
"19,Ia,Iowa,2195,4262,54921"
"40,Ok,Oklahoma,2176,4785,55081"
"8,Co,Colorado,1466,3081,40256"
"39,Oh,Ohio,1280,2637,47800"
"18,In,Indiana,1269,2652,37962"
"47,Tn,Tennessee,1200,2577,33221"
"4,Az,Arizona,1183,2532,32856"
"36,NY,New York,1178,2392,50105"
"26,Mi,Michigan,1157,2305,36534"
"31,Ne,Nebraska,1130,2270,31064"
"51,Va,Virginia,1043,2313,36246"
"13,Ga,Georgia,999,2189,29716"
"37,NC,North Carolina,924,1993,25686"
"53,Wa,Washington,827,1868,21154"
"42,Pa,Pennsylvania,764,1594,30629"
"27,Mn,Minnesota,754,1429,23165"
"55,Wi,Wisconsin,754,1524,23357"
"21,Ky,Kentucky,723,1527,19954"
"22,La,Louisiana,696,1557,18140"
"34,NJ,New Jersey,553,1129,27645"
"32,Nv,Nevada,523,1047,14842"
"24,Md,Maryland,518,1082,21552"
"28,Ms,Mississippi,509,1141,11848"
"1,Al,Alabama,502,1105,13831"
"45,SC,South Carolina,435,967,10728"
"41,Or,Oregon,402,911,8063"
"25,Ma,Massachusetts,391,668,13024"
"35,NM,New Mexico,385,805,9246"
"9,Ct,Connecticut,291,613,15813"
"15,Hi,Hawaii,291,660,8423"
"49,Ut,Utah,279,702,6780"
"2,Ak,Alaska,233,555,5988"
"46,SD,South Dakota,210,472,5764"
"56,Wy,Wyoming,186,450,5272"
"16,Id,Idaho,167,362,5377"
"38,ND,North Dakota,163,332,3733"
"30,Mt,Montana,151,331,3107"
"23,Me,Maine,150,390,3540"
"54,WV,West Virginia,125,260,3963"
"33,NH,New Hampshire,111,212,3125"
"11,DC,District of Columbia,96,128,3081"
"44,RI,Rhode Island,78,140,2084"
"10,De,Delaware,66,151,2620"
"50,Vt,Vermont,41,88,1213"
"29,Mo,State Non-Migrant,1820098,4108166,61281694"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
