"1993 -1994 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"TO: ,NEVADA,,NUMBER OF,NUMBER OF,TOTAL MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"32, ,Total Inflow,53582,106346,1528562"
"6,Ca,California,22724,46619,668655"
"4,Az,Arizona,3004,6015,82382"
"48,Tx,Texas,2071,4214,54748"
"12,Fl,Florida,1750,3075,44169"
"17,Il,Illinois,1616,2987,51925"
"36,NY,New York,1610,2908,44794"
"8,Co,Colorado,1515,2951,40659"
"53,Wa,Washington,1496,2866,37286"
"49,Ut,Utah,1482,3461,37929"
"57,FR,Foreign,1478,3079,37599"
"41,Or,Oregon,1204,2242,24137"
"26,Mi,Michigan,904,1553,27377"
"15,Hi,Hawaii,904,1791,26147"
"34,NJ,New Jersey,843,1511,29126"
"39,Oh,Ohio,820,1411,23209"
"35,NM,New Mexico,716,1417,17674"
"16,Id,Idaho,678,1547,20964"
"42,Pa,Pennsylvania,566,941,13282"
"55,Wi,Wisconsin,495,919,13739"
"27,Mn,Minnesota,488,798,15092"
"29,Mo,Missouri,461,882,13311"
"51,Va,Virginia,460,937,16913"
"30,Mt,Montana,409,811,10010"
"18,In,Indiana,406,751,9613"
"40,Ok,Oklahoma,382,747,13122"
"25,Ma,Massachusetts,369,602,14781"
"56,Wy,Wyoming,336,695,7720"
"2,Ak,Alaska,330,696,11116"
"37,NC,North Carolina,329,674,14331"
"20,Ks,Kansas,317,582,7190"
"13,Ga,Georgia,311,634,9202"
"24,Md,Maryland,284,547,9364"
"22,La,Louisiana,280,600,6675"
"19,Ia,Iowa,268,520,16473"
"31,Ne,Nebraska,246,449,6520"
"47,Tn,Tennessee,235,440,5753"
"5,Ar,Arkansas,205,416,3753"
"9,Ct,Connecticut,201,337,7240"
"21,Ky,Kentucky,170,328,4875"
"45,SC,South Carolina,160,368,3952"
"28,Ms,Mississippi,156,319,3351"
"46,SD,South Dakota,148,300,3504"
"1,Al,Alabama,147,296,3246"
"38,ND,North Dakota,123,242,3256"
"23,Me,Maine,110,223,2268"
"33,NH,New Hampshire,93,163,2490"
"44,RI,Rhode Island,81,137,1947"
"11,DC,District of Columbia,56,79,1806"
"54,WV,West Virginia,55,105,1479"
"50,Vt,Vermont,46,82,921"
"10,De,Delaware,44,79,1487"
"32,Nv,State Non-Migrant,489104,1047087,16260973"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
