"1993 - 1994 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"TO: ,OHIO,,NUMBER OF,NUMBER OF,TOTAL MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"39, ,Total Inflow,78115,156038,2437344"
"12,Fl,Florida,6905,13148,166001"
"6,Ca,California,5500,11265,205635"
"26,Mi,Michigan,5383,10642,183352"
"57,FR,Foreign,5084,7947,107267"
"42,Pa,Pennsylvania,5019,9539,159185"
"21,Ky,Kentucky,4747,9108,122860"
"18,In,Indiana,4739,9549,143920"
"48,Tx,Texas,3464,7611,114184"
"36,NY,New York,3386,6472,126389"
"17,Il,Illinois,3315,6856,140368"
"54,WV,West Virginia,2820,5672,62249"
"51,Va,Virginia,2637,5635,81396"
"37,NC,North Carolina,2433,5203,66429"
"13,Ga,Georgia,2016,4319,60269"
"47,Tn,Tennessee,1579,3361,45720"
"34,NJ,New Jersey,1349,2820,67350"
"24,Md,Maryland,1316,2625,51337"
"45,SC,South Carolina,1266,2735,36361"
"4,Az,Arizona,1260,2532,31548"
"8,Co,Colorado,1197,2360,34084"
"29,Mo,Missouri,1129,2500,44066"
"25,Ma,Massachusetts,959,1846,42733"
"55,Wi,Wisconsin,862,1779,36657"
"53,Wa,Washington,794,1641,21602"
"1,Al,Alabama,761,1690,20454"
"9,Ct,Connecticut,735,1500,40478"
"27,Mn,Minnesota,671,1328,30071"
"22,La,Louisiana,574,1247,15591"
"40,Ok,Oklahoma,566,1266,13623"
"20,Ks,Kansas,515,1111,17733"
"19,Ia,Iowa,486,1097,16875"
"32,Nv,Nevada,465,822,9959"
"15,Hi,Hawaii,376,777,9677"
"28,Ms,Mississippi,373,832,8601"
"35,NM,New Mexico,337,731,9782"
"41,Or,Oregon,314,658,9052"
"5,Ar,Arkansas,309,671,7551"
"49,Ut,Utah,267,675,9049"
"31,Ne,Nebraska,247,502,6537"
"10,De,Delaware,233,490,10592"
"23,Me,Maine,214,463,5849"
"33,NH,New Hampshire,212,415,8074"
"2,Ak,Alaska,199,407,5083"
"11,DC,District of Columbia,199,293,5741"
"44,RI,Rhode Island,176,340,7780"
"30,Mt,Montana,151,307,3558"
"16,Id,Idaho,136,321,4046"
"46,SD,South Dakota,124,266,2954"
"38,ND,North Dakota,123,290,3147"
"56,Wy,Wyoming,105,230,2521"
"50,Vt,Vermont,88,144,2004"
"39,Oh,State Non-Migrant,4109924,8721074,137283365"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
