"1993 - 1994 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"TO: ,OREGON,,NUMBER OF,NUMBER OF,TOTAL MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"41, ,Total Inflow,49753,97944,1365878"
"6,Ca,California,18415,38582,555624"
"53,Wa,Washington,9306,17654,241511"
"4,Az,Arizona,1606,3167,37182"
"16,Id,Idaho,1601,3477,33082"
"57,FR,Foreign,1511,2413,29724"
"48,Tx,Texas,1396,2966,39788"
"8,Co,Colorado,1221,2240,31063"
"32,Nv,Nevada,1151,2160,24062"
"2,Ak,Alaska,1047,2036,27420"
"12,Fl,Florida,770,1485,20435"
"17,Il,Illinois,745,1387,25323"
"36,NY,New York,738,1235,21544"
"49,Ut,Utah,729,1622,16978"
"15,Hi,Hawaii,683,1277,17880"
"30,Mt,Montana,669,1234,11613"
"51,Va,Virginia,479,853,15140"
"25,Ma,Massachusetts,465,728,16320"
"27,Mn,Minnesota,421,723,11534"
"39,Oh,Ohio,399,713,13930"
"26,Mi,Michigan,394,687,9871"
"37,NC,North Carolina,388,788,11723"
"42,Pa,Pennsylvania,381,699,13028"
"55,Wi,Wisconsin,367,612,9239"
"35,NM,New Mexico,336,660,8671"
"29,Mo,Missouri,332,662,9326"
"34,NJ,New Jersey,316,532,13412"
"13,Ga,Georgia,309,584,8806"
"20,Ks,Kansas,285,541,7480"
"40,Ok,Oklahoma,277,591,6034"
"24,Md,Maryland,273,522,9200"
"18,In,Indiana,251,479,6619"
"19,Ia,Iowa,230,392,4698"
"9,Ct,Connecticut,222,342,6454"
"56,Wy,Wyoming,220,419,4562"
"31,Ne,Nebraska,207,425,5706"
"47,Tn,Tennessee,174,333,4365"
"22,La,Louisiana,156,340,3958"
"5,Ar,Arkansas,152,297,3120"
"21,Ky,Kentucky,138,257,3396"
"45,SC,South Carolina,131,260,4710"
"1,Al,Alabama,120,251,3583"
"46,SD,South Dakota,110,205,2072"
"23,Me,Maine,102,185,2539"
"38,ND,North Dakota,95,180,1746"
"33,NH,New Hampshire,93,171,2559"
"11,DC,District of Columbia,85,112,2564"
"28,Ms,Mississippi,74,145,1928"
"50,Vt,Vermont,60,99,1384"
"44,RI,Rhode Island,54,82,1353"
"54,WV,West Virginia,37,71,623"
"10,De,Delaware,32,69,996"
"41,Or,State Non-Migrant,1020836,2278667,34760401"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
