"1993 - 1994 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"TO: ,UTAH,,NUMBER OF,NUMBER OF,TOTAL MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"49, ,Total Inflow,27155,62044,763015"
"6,Ca,California,7185,17223,229150"
"16,Id,Idaho,1748,3897,33041"
"4,Az,Arizona,1651,4107,38734"
"32,Nv,Nevada,1463,3390,34258"
"8,Co,Colorado,1367,3018,38512"
"53,Wa,Washington,1294,2981,35086"
"57,FR,Foreign,1293,2436,22142"
"48,Tx,Texas,1190,2920,40415"
"41,Or,Oregon,694,1470,15742"
"56,Wy,Wyoming,658,1409,14831"
"12,Fl,Florida,636,1407,20846"
"35,NM,New Mexico,529,1483,11750"
"17,Il,Illinois,471,990,16861"
"36,NY,New York,434,835,12891"
"51,Va,Virginia,372,810,13284"
"39,Oh,Ohio,356,770,11503"
"30,Mt,Montana,333,738,7958"
"42,Pa,Pennsylvania,328,676,14084"
"26,Mi,Michigan,324,689,11171"
"15,Hi,Hawaii,305,756,7094"
"29,Mo,Missouri,276,643,7646"
"13,Ga,Georgia,237,506,8219"
"37,NC,North Carolina,236,519,5951"
"2,Ak,Alaska,234,551,7315"
"27,Mn,Minnesota,227,454,6601"
"24,Md,Maryland,221,486,8889"
"55,Wi,Wisconsin,216,435,5601"
"18,In,Indiana,214,491,6154"
"25,Ma,Massachusetts,212,385,6153"
"40,Ok,Oklahoma,206,506,5149"
"34,NJ,New Jersey,197,385,6599"
"20,Ks,Kansas,184,476,6478"
"47,Tn,Tennessee,177,406,4937"
"31,Ne,Nebraska,169,451,5487"
"9,Ct,Connecticut,149,266,5495"
"19,Ia,Iowa,140,296,4106"
"22,La,Louisiana,140,315,3150"
"1,Al,Alabama,136,400,5046"
"45,SC,South Carolina,131,315,3632"
"21,Ky,Kentucky,107,247,3264"
"5,Ar,Arkansas,104,276,2711"
"23,Me,Maine,101,230,2444"
"38,ND,North Dakota,92,199,2418"
"46,SD,South Dakota,91,189,2269"
"28,Ms,Mississippi,75,163,1449"
"33,NH,New Hampshire,75,111,1451"
"50,Vt,Vermont,54,89,1303"
"54,WV,West Virginia,37,89,899"
"10,De,Delaware,31,62,1354"
"44,RI,Rhode Island,30,58,675"
"11,DC,District of Columbia,25,40,817"
"49,Ut,State Non-Migrant,546373,1499636,18717807"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
