"1993 - 1994 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"TO: ,WISCONSIN,,NUMBER OF,NUMBER OF,TOTAL MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"55, ,Total Inflow,41164,82280,1247476"
"17,Il,Illinois,8930,18132,294578"
"27,Mn,Minnesota,5478,10185,156362"
"6,Ca,California,2994,6160,91338"
"26,Mi,Michigan,2453,4820,70787"
"57,FR,Foreign,1970,2885,32905"
"12,Fl,Florida,1815,3359,52034"
"48,Tx,Texas,1557,3471,44411"
"19,Ia,Iowa,1352,2746,40820"
"18,In,Indiana,1025,2248,34648"
"39,Oh,Ohio,1004,2200,44767"
"4,Az,Arizona,901,1580,20833"
"8,Co,Colorado,826,1616,21806"
"36,NY,New York,735,1412,26479"
"53,Wa,Washington,671,1401,19397"
"29,Mo,Missouri,643,1348,22111"
"51,Va,Virginia,643,1401,20372"
"42,Pa,Pennsylvania,619,1322,23003"
"37,NC,North Carolina,582,1262,17864"
"13,Ga,Georgia,524,1137,19742"
"47,Tn,Tennessee,379,842,11767"
"25,Ma,Massachusetts,354,629,12436"
"20,Ks,Kansas,333,765,12061"
"34,NJ,New Jersey,318,650,13833"
"21,Ky,Kentucky,287,602,9614"
"24,Md,Maryland,285,586,11096"
"32,Nv,Nevada,282,511,6066"
"31,Ne,Nebraska,274,592,8350"
"40,Ok,Oklahoma,265,600,7732"
"45,SC,South Carolina,252,573,7577"
"28,Ms,Mississippi,251,545,3595"
"15,Hi,Hawaii,245,484,6530"
"41,Or,Oregon,236,491,6956"
"5,Ar,Arkansas,229,460,4912"
"46,SD,South Dakota,228,460,6087"
"38,ND,North Dakota,225,465,5569"
"9,Ct,Connecticut,223,498,9896"
"22,La,Louisiana,202,406,4701"
"1,Al,Alabama,202,432,5826"
"49,Ut,Utah,195,503,6391"
"35,NM,New Mexico,185,366,4362"
"2,Ak,Alaska,163,406,4479"
"30,Mt,Montana,146,294,3089"
"23,Me,Maine,110,227,3430"
"16,Id,Idaho,102,216,2723"
"56,Wy,Wyoming,91,210,2101"
"33,NH,New Hampshire,84,183,2820"
"11,DC,District of Columbia,80,112,2186"
"54,WV,West Virginia,66,140,1489"
"44,RI,Rhode Island,65,155,2020"
"50,Vt,Vermont,45,99,1612"
"10,De,Delaware,40,93,1913"
"55,Wi,State Non-Migrant,1856912,4164161,66076424"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
