"1993 - 1994 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"FROM:,,ALABAMA,NUMBER OF,NUMBER OF,TOTAL MONEY"
" ,,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"1, ,Total Outflow,40013,85341,1068433"
"13,Ga,Georgia,6814,13993,168866"
"12,Fl,Florida,5328,10874,131638"
"47,Tn,Tennessee,3451,7210,99695"
"48,Tx,Texas,2912,6586,85026"
"28,Ms,Mississippi,2400,5167,57117"
"57,FR,Foreign,1834,3878,42016"
"37,NC,North Carolina,1626,3568,47063"
"51,Va,Virginia,1280,2861,40732"
"6,Ca,California,1267,2410,31908"
"22,La,Louisiana,1249,2774,35179"
"45,SC,South Carolina,866,1966,25855"
"39,Oh,Ohio,761,1690,20454"
"17,Il,Illinois,755,1597,19786"
"21,Ky,Kentucky,705,1560,18664"
"36,NY,New York,641,1242,15879"
"26,Mi,Michigan,637,1357,13453"
"8,Co,Colorado,605,1284,17334"
"18,In,Indiana,548,1211,13659"
"29,Mo,Missouri,502,1105,13831"
"42,Pa,Pennsylvania,469,1010,16527"
"5,Ar,Arkansas,468,1108,14601"
"24,Md,Maryland,435,901,14229"
"40,Ok,Oklahoma,432,1011,10739"
"53,Wa,Washington,378,825,10772"
"20,Ks,Kansas,366,915,10997"
"4,Az,Arizona,341,704,10280"
"34,NJ,New Jersey,251,501,7027"
"15,Hi,Hawaii,248,565,5959"
"2,Ak,Alaska,221,515,5223"
"55,Wi,Wisconsin,202,432,5826"
"25,Ma,Massachusetts,197,394,5963"
"35,NM,New Mexico,177,384,4825"
"54,WV,West Virginia,149,329,3654"
"32,Nv,Nevada,147,296,3246"
"19,Ia,Iowa,137,309,4770"
"49,Ut,Utah,136,400,5046"
"9,Ct,Connecticut,135,273,4070"
"27,Mn,Minnesota,134,294,3482"
"41,Or,Oregon,120,251,3583"
"31,Ne,Nebraska,105,263,3079"
"11,DC,District of Columbia,78,131,2249"
"16,Id,Idaho,78,207,1853"
"10,De,Delaware,76,188,2561"
"23,Me,Maine,61,132,1511"
"30,Mt,Montana,57,155,1709"
"33,NH,New Hampshire,48,97,1301"
"46,SD,South Dakota,45,99,1176"
"56,Wy,Wyoming,42,99,1105"
"38,ND,North Dakota,41,97,1276"
"44,RI,Rhode Island,40,88,1231"
"50,Vt,Vermont,18,35,408"
"1,Al,State Non-Migrant,1390158,3261943,42611147"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
