"1993 - 1994 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"FROM:,,FLORIDA,NUMBER OF,NUMBER OF,TOTAL MONEY"
" ,,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"12, ,Total Outflow,172385,337645,4468880"
"13,Ga,Georgia,18206,36585,498062"
"48,Tx,Texas,10889,24317,308305"
"37,NC,North Carolina,10716,22136,299832"
"36,NY,New York,10478,18061,229828"
"57,FR,Foreign,8718,16733,200352"
"6,Ca,California,8246,15246,224941"
"51,Va,Virginia,7714,16155,217531"
"39,Oh,Ohio,6905,13148,166001"
"47,Tn,Tennessee,6192,13003,158830"
"1,Al,Alabama,5967,12612,136617"
"42,Pa,Pennsylvania,5777,10744,143382"
"17,Il,Illinois,5127,9438,145850"
"26,Mi,Michigan,5119,9495,126308"
"34,NJ,New Jersey,4869,8796,137208"
"45,SC,South Carolina,4643,9716,114772"
"25,Ma,Massachusetts,4073,6750,109914"
"18,In,Indiana,4058,7995,94793"
"24,Md,Maryland,3489,6493,102339"
"8,Co,Colorado,3329,6256,92910"
"21,Ky,Kentucky,2915,6031,66923"
"4,Az,Arizona,2545,4891,69832"
"22,La,Louisiana,2534,5078,63766"
"9,Ct,Connecticut,2470,4398,72634"
"29,Mo,Missouri,2357,4725,62256"
"28,Ms,Mississippi,2089,4397,45613"
"53,Wa,Washington,1894,3672,49927"
"55,Wi,Wisconsin,1815,3359,52034"
"32,Nv,Nevada,1750,3075,44169"
"27,Mn,Minnesota,1359,2467,40361"
"40,Ok,Oklahoma,1315,2728,28790"
"5,Ar,Arkansas,1288,2694,30057"
"54,WV,West Virginia,1224,2462,26688"
"23,Me,Maine,1198,2198,24844"
"33,NH,New Hampshire,1161,2073,24134"
"35,NM,New Mexico,1069,2254,30790"
"20,Ks,Kansas,938,1960,25831"
"15,Hi,Hawaii,887,1658,20542"
"44,RI,Rhode Island,815,1483,20514"
"19,Ia,Iowa,782,1546,22231"
"41,Or,Oregon,770,1485,20435"
"49,Ut,Utah,636,1407,20846"
"2,Ak,Alaska,606,1228,13511"
"10,De,Delaware,561,1104,12221"
"50,Vt,Vermont,498,914,10460"
"11,DC,District of Columbia,489,691,13496"
"16,Id,Idaho,452,947,9805"
"31,Ne,Nebraska,431,953,9494"
"30,Mt,Montana,367,771,10002"
"46,SD,South Dakota,243,491,5497"
"56,Wy,Wyoming,229,469,9783"
"38,ND,North Dakota,183,357,3619"
"12,Fl,State Non-Migrant,4822184,10134373,156592994"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
