"1993 - 1994 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"FROM:,,GEORGIA,NUMBER OF,NUMBER OF,TOTAL MONEY"
" ,,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"13, ,Total Outflow,80465,168130,2381365"
"12,Fl,Florida,12713,25323,381279"
"1,Al,Alabama,6394,13907,167540"
"37,NC,North Carolina,5939,12260,190337"
"47,Tn,Tennessee,5731,11841,171655"
"48,Tx,Texas,5036,11440,157444"
"45,SC,South Carolina,5007,10377,135315"
"57,FR,Foreign,4354,9454,102084"
"6,Ca,California,3172,6019,102881"
"51,Va,Virginia,3062,6434,96840"
"39,Oh,Ohio,2016,4319,60269"
"36,NY,New York,2012,3710,59031"
"17,Il,Illinois,1938,4003,71329"
"22,La,Louisiana,1719,3827,39922"
"21,Ky,Kentucky,1414,3176,36476"
"42,Pa,Pennsylvania,1401,2934,48286"
"26,Mi,Michigan,1305,2675,33894"
"24,Md,Maryland,1303,2614,38657"
"8,Co,Colorado,1252,2558,37644"
"28,Ms,Mississippi,1207,2583,29380"
"18,In,Indiana,1147,2518,31414"
"34,NJ,New Jersey,1050,2164,44485"
"29,Mo,Missouri,999,2189,29716"
"53,Wa,Washington,946,1957,29168"
"4,Az,Arizona,816,1706,27667"
"25,Ma,Massachusetts,770,1426,28169"
"40,Ok,Oklahoma,655,1462,15397"
"20,Ks,Kansas,650,1589,22375"
"5,Ar,Arkansas,589,1398,18004"
"15,Hi,Hawaii,548,1237,13072"
"55,Wi,Wisconsin,524,1137,19742"
"9,Ct,Connecticut,491,1067,19037"
"27,Mn,Minnesota,469,965,15168"
"54,WV,West Virginia,364,780,9182"
"2,Ak,Alaska,360,835,8369"
"35,NM,New Mexico,340,704,9869"
"32,Nv,Nevada,311,634,9202"
"41,Or,Oregon,309,584,8806"
"19,Ia,Iowa,284,642,7843"
"11,DC,District of Columbia,251,350,5882"
"49,Ut,Utah,237,506,8219"
"31,Ne,Nebraska,182,405,4958"
"10,De,Delaware,165,329,6142"
"23,Me,Maine,165,346,5043"
"33,NH,New Hampshire,150,294,5221"
"16,Id,Idaho,148,351,4269"
"30,Mt,Montana,123,232,2497"
"56,Wy,Wyoming,105,215,2444"
"44,RI,Rhode Island,95,185,2295"
"46,SD,South Dakota,91,174,1843"
"38,ND,North Dakota,87,158,1925"
"50,Vt,Vermont,69,137,3679"
"13,Ga,State Non-Migrant,2288400,5238058,77471749"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
