"1993 - 1994 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"FROM:,,MINNESOTA,NUMBER OF,NUMBER OF,TOTAL MONEY"
" ,,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"27, ,Total Outflow,39283,71967,1262666"
"55,Wi,Wisconsin,5478,10185,156362"
"38,ND,North Dakota,2735,4643,56913"
"6,Ca,California,2601,4225,86900"
"48,Tx,Texas,2254,4762,77148"
"17,Il,Illinois,2095,3741,76975"
"19,Ia,Iowa,2005,3945,53489"
"12,Fl,Florida,1848,3283,91280"
"4,Az,Arizona,1841,3220,59423"
"8,Co,Colorado,1551,2576,45086"
"46,SD,South Dakota,1550,2900,40229"
"53,Wa,Washington,1053,1874,34147"
"57,FR,Foreign,1019,1740,31860"
"26,Mi,Michigan,902,1783,32055"
"29,Mo,Missouri,754,1429,23165"
"36,NY,New York,748,1179,26484"
"39,Oh,Ohio,671,1328,30071"
"37,NC,North Carolina,638,1227,21657"
"13,Ga,Georgia,626,1276,26198"
"51,Va,Virginia,564,992,18766"
"18,In,Indiana,535,1065,17550"
"31,Ne,Nebraska,512,1014,15599"
"42,Pa,Pennsylvania,490,996,21369"
"32,Nv,Nevada,488,798,15092"
"47,Tn,Tennessee,469,912,17255"
"20,Ks,Kansas,452,967,16549"
"30,Mt,Montana,434,804,10214"
"41,Or,Oregon,421,723,11534"
"25,Ma,Massachusetts,405,625,15437"
"35,NM,New Mexico,322,575,10291"
"2,Ak,Alaska,309,498,7462"
"24,Md,Maryland,309,546,12367"
"34,NJ,New Jersey,273,529,15736"
"5,Ar,Arkansas,263,536,6954"
"40,Ok,Oklahoma,250,523,6286"
"21,Ky,Kentucky,228,466,7724"
"49,Ut,Utah,227,454,6601"
"16,Id,Idaho,223,498,7062"
"15,Hi,Hawaii,199,305,4200"
"45,SC,South Carolina,186,370,6339"
"9,Ct,Connecticut,180,319,9612"
"1,Al,Alabama,180,398,6196"
"28,Ms,Mississippi,180,362,4051"
"22,La,Louisiana,177,320,5639"
"56,Wy,Wyoming,165,319,4158"
"11,DC,District of Columbia,154,177,3675"
"23,Me,Maine,74,121,1971"
"33,NH,New Hampshire,68,132,2758"
"44,RI,Rhode Island,51,87,1325"
"54,WV,West Virginia,50,105,1618"
"50,Vt,Vermont,44,66,1104"
"10,De,Delaware,32,49,730"
"27,Mn,State Non-Migrant,1635713,3690397,61930818"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
